sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'PS1-10w',0.031255,0.0010016812160008914,37704.0,0.0,0.0,0.0,0.0,0.0,0.0,17754.75,0.0,0.0,0.0,0.0,0.0,0.0
b'PTF10bjs',0.030027,0.0010016436513017115,176.05,2.3179179498921303e+37,8.739783289144916e+36,9.068437835594882e+36,3.471703800567189e+36,3.364398406870292e+38,3.7588261846572653e+37,89.05,1.2022305094034178e+38,6.494316741132498e+37,4.703511027682333e+37,2.5598367543032125e+37,5.9148722700870255e+38,1.0701257004567297e+38
b'PTF10icb',0.008544,0.0010012299353295549,1562.05,1.141174587057394e+38,2.6969421338541136e+37,3.648788154922654e+36,1.2133300567914358e+36,1.2493070946133305e+37,4.1522115398763104e+36,1640.35,1.7344742458107613e+38,4.1225267361599856e+37,5.545802679896527e+36,1.8494769555421776e+36,1.538204502078986e+37,5.1187046957876665e+36
b'SN2005ao',0.038407,0.001001929878341306,74.0,5.236111356890169e+37,2.4825398922157275e+37,3.3391786645008657e+37,1.5925643790033616e+37,6.2578520700207055e+38,8.403953987001103e+37,74.0,-5.0926621032000687e+36,2.439346005951083e+37,-3.2476980494581326e+36,1.5557131293328126e+37,8.103465282662802e+38,2.175995332736318e+38
b'SN2005bl',0.02406,0.0010014825345776254,105.0,1.7736755791091437e+35,4.6087967931462085e+36,4.4669427745628455e+34,1.1607159913420887e+36,1.1489888108245716e+37,6.659529914734855e+36,105.0,-2.5253292284027444e+36,6.731660063567278e+36,-6.3599574144623526e+35,1.6961640017394317e+36,-6.594175401834981e+36,1.069619893235348e+37
b'SN2005bo',0.013896,0.0010012899092071308,203.0,1.24711532962226e+38,1.975502394474883e+37,1.052333421927964e+37,2.2504914571232464e+36,2.2500594814440093e+38,4.613489546709602e+37,96.0,1.3523662590734066e+38,3.6138823603923025e+37,1.1411456336934722e+37,3.462255459327881e+36,3.1047953806900715e+38,6.490017934038289e+37
b'SN2005cf',0.006461,0.0010012143266978476,204.0,2.4171544880443147e+38,7.545058831620123e+37,4.42352912189477e+36,1.944416046050812e+36,1.1442107379858937e+37,5.027069704351313e+36,2921.95,3.708118649294925e+38,1.1557675867402364e+38,6.786066390762061e+36,2.980679165705948e+36,1.5295291755126394e+37,6.71736415155389e+36
b'SN2005ch',0.027,0.0010015574788618097,9142.25,8.175933050652112e+36,1.0142957747732832e+36,2.5897116912261763e+36,3.737599835595078e+35,2.387430594322094e+37,2.7368144537693563e+36,8335.15,2.171916050774582e+37,3.2480083779138167e+36,6.879503971236775e+36,1.1471056051473201e+36,3.966970368388629e+37,5.028551965852282e+36
b'SN2005eq',0.028977,0.001001612724556265,1693.05,5.208736831334874e+36,1.9652522670561777e+36,1.8986710558447655e+36,7.281429119516809e+35,9.62687936122842e+37,1.0325099712413029e+37,1693.05,4.232897268454757e+36,5.0112912114652825e+36,1.542961333279677e+36,1.8297711288665048e+36,1.0620891531338497e+38,1.5254259855594742e+37
b'SN2005eu',0.03412,0.001001774704144612,11443.0,2.3995679431570364e+37,2.877504343024472e+36,1.2099877175234407e+37,1.6132708534925096e+36,1.2587549019946414e+38,1.0885982414004697e+37,4480.2,4.939407270203843e+37,7.923464723312156e+36,2.490707606690804e+37,4.25094165517121e+36,1.6002522935714323e+38,1.7960167891856598e+37
b'SN2005iq',0.034044,0.0010017721184980269,112.0,3.736139831893177e+37,1.537527262100002e+37,1.8756364569251725e+37,7.796137726993822e+36,1.783673967256515e+38,3.0802457174207913e+37,112.0,3.492910655631618e+37,3.6622174698285327e+37,1.7535292738669603e+37,1.8413764193914334e+37,2.9172422371758193e+38,8.067169025909236e+37
b'SN2005ke',0.00488,0.0010012053724706158,1690.1,7.595845722982705e+36,3.248379238369334e+36,7.935551625722016e+34,4.700686862461089e+34,2.0583833615689127e+36,1.1962039073483649e+36,1690.1,7.398785062204319e+36,3.140795565703057e+36,7.729677901579062e+34,4.561185607897703e+34,2.4348534565281894e+36,1.4154872241913343e+36
b'SN2005ls',0.021118,0.001001416173919727,112.0,8.765309196479036e+37,1.637197013718023e+37,1.7028463844236805e+37,3.5637573982495114e+36,4.702768232780864e+38,6.501290583080418e+37,112.0,1.1787985382504577e+38,4.347806676879204e+37,2.290065055126675e+37,8.718808322973509e+36,5.572582504527283e+38,8.529231279806186e+37
b'SN2006D',0.008526,0.001001229781888266,304.0,2.811979010767781e+37,6.962844710958614e+36,8.953239252306282e+35,3.052885766328616e+35,4.24922045808553e+37,1.41537085409326e+37,106.0,2.559505530467833e+37,1.0427156738762727e+37,8.14937284173493e+35,3.8303943101432984e+35,6.33450640854629e+37,2.1203737001671382e+37
b'SN2006E',0.002686,0.0010011970825267245,18458.35,0.0,0.0,0.0,0.0,0.0,0.0,16943.35,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2006N',0.014277,0.0010012952692353163,3007.15,1.3464845469954216e+37,2.0890541160504168e+36,1.1991419808966491e+36,2.5045593183197897e+35,1.2317287458680112e+37,2.471731306159413e+36,621.0,-3.2091119582017963e+35,3.0149519863403013e+36,-2.8579465535376185e+34,2.685330416423097e+35,5.851928538078577e+36,1.9429087004721517e+36
b'SN2006X',0.00524,0.0010012071918758998,6466.1,6.545743570530999e+37,2.5118898417390203e+37,7.883434318556978e+35,4.266886696694594e+35,2.3037696745270243e+37,1.2468394747903166e+37,4805.1,6.9585077607672235e+37,2.672492769202489e+37,8.380551162154268e+35,4.537834841018962e+35,2.6334992233607554e+37,1.4253131540495373e+37
b'SN2006ac',0.023106,0.0010014600694486149,213.0,6.129733920561247e+37,1.0535843459130339e+37,1.424351184506108e+37,2.739105653571346e+36,4.605711719803602e+38,5.8031557692818505e+37,213.0,8.508531324752126e+37,2.7845157247017966e+37,1.9771064825776922e+37,6.691228186671853e+36,6.36600083638229e+38,8.606464180790391e+37
b'SN2006ax',0.016725,0.0010013331658788821,220.0,7.121746494367218e+36,3.1992638907613084e+36,8.694651592284113e+35,4.041247408561608e+35,4.877637918328167e+37,8.624185895965239e+36,108.0,6.5513376021158074e+35,7.513071787433997e+36,7.99826249907652e+34,9.172901115056597e+35,3.740763638400125e+37,9.875684303771241e+36
b'SN2006cp',0.022289,0.0010014415524557709,2822.0,0.0,0.0,0.0,0.0,0.0,0.0,1683.3,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2006cz',0.0418,0.0010020656782187606,190.0,6.428854195138535e+36,8.835582890661737e+36,4.84892754896357e+36,6.668168718625585e+36,2.9465716109012285e+38,4.591172781948072e+37,105.0,-4.8189583851936024e+36,1.6364884760998037e+37,-3.6346725811489226e+36,1.234433089358805e+37,2.5238105900450747e+38,1.359843305116234e+38
b'SN2006le',0.017432,0.001001345224229898,1676.2,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2006lf',0.013189,0.0010012803469483583,110.0,-6.501309201851271e+35,3.7163565843286905e+36,-4.943390490376239e+34,2.8267912865162664e+35,-6.529479290722689e+35,1.4309483556233537e+36,,,,,,,
