SN Name,NUV Pixel Value,NUV Exposure Time,FUV Pixel Value,Notes
SN 2011fe,0.0608108; 0.044352,0.0608108; 0.044352,0.00816847; 0.0183311,
SN 2011hr,0.126482,0.126482,0.0461162,
SN 2011gy,,,,Region identified outside of nuv image; not identified at all in fuv image
SN 2011hk,0.0215852; 0.0301664,0.0215852; 0.0301664,0.01935; 0.0034637,
SN 2011fs,0.0144177,0.0144177,0.00920334,
SN 2011gf,0.00385821,0.00385821,0.000905797,
PTF11pbp,0.0224224; 0.023382; 0.0151086,0.0224224; 0.023382; 0.0151086,0.00554871; 0.00391533; 0.00453258,
SN 2011ho,0.0125589,0.0125589,0.0111712,
SN 2011io,0.00389864,0.00389864,0.000269796,
SN 2011iu,0.0318091,0.0318091,,NUV only
PTF11qmo ,0.0235424,0.0235424,0.0101555; 0.00242976,
PTF11qri,0.0566673,0.0566673,0.0090793,
PTF11qzq,0.016475,0.016475,0.00407747,
PTF11moy,0.0213511,0.0213511,0.00921394,
PTF11owc,0.00410065; 0.00520749,0.00410065; 0.00520749,0.00506009; 0.00552772,
PTF11mty,,,,All regions off the map
PTF11qpc,0.0117081,0.0117081,0.000736377,
SN 2011ha,0.00749239; 0.00419654,0.00749239; 0.00419654,0.00103164,
SN 2012bh,0.00491893,0.00491893,0.000344293,
SN 2011jh,0.0423057,0.0423057,0.010351,
SN 2011iy,0.045744,0.045744,0.0119559,
SN 2012bo,0.0122535,0.0122535,0.0110535,
SN 2012bm,0.0172507; 0.0167164,0.0172507; 0.0167164,0.000959003,
SN 2012bp,0.00437079; 0.00510123; 0.0189461,0.00437079; 0.00510123; 0.0189461,0.00581501,
SN 2012em,,,,All regions off map
SN 2012et,,,,No -int files with pixel values
PTF12ikt,0.0245007,0.0245007,0.00698843,
SN2012fb,0.0278928,0.0278928,0.0146554,
PTF12iiq,0.00420972,0.00420972,0.00149903,
LSQ12fhs,0.000755965,0.000755965,0.00668617,
CSS121006:232854+085452,0.00931315; 0.0259139,0.00931315; 0.0259139,0.00305052; 0.0092794,
