sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'ASASSN-14ay',0.030869,0.0010016692461212056,67.05,-4.1880015766478e+36,5.460143627506794e+36,-1.7310199054752858e+36,2.259588854597439e+36,5.493353137548634e+37,2.077759332522753e+37,67.05,-4.2581638947164153e+36,1.4102458047580411e+37,-1.7600199827121897e+36,5.830050029190691e+36,7.054589988594819e+37,5.569591972799784e+37
b'ASASSN-14in',0.033,0.00100173718282992,204.0,1.687322855769151e+37,8.284509299048419e+36,7.962872427210152e+36,3.939000867513954e+36,1.798344648875757e+38,2.4395500276423236e+37,204.0,5.599086685441405e+37,3.4490901918499933e+37,2.642340369693935e+37,1.6354788675863632e+37,2.8187992869529072e+38,6.330892720935837e+37
b'ASASSN-14iu',0.016855,0.0010013353456704824,213.05,2.5198249113382704e+37,5.50782457297389e+36,3.124185048342437e+36,7.766037775357439e+35,3.6886386730979733e+37,6.608656552869851e+36,105.05,1.8627110459237992e+37,1.4870396495188345e+37,2.309467603432313e+36,1.8638547379735045e+36,3.0007507064736636e+37,8.877446168262807e+36
b'ASASSN-15fj',0.045,0.0010022042623457678,109.0,-1.3741374886455985e+36,7.818313890722075e+36,-1.1994994358651204e+36,6.824895514241648e+36,6.7906922465734215e+37,4.495790897430994e+37,109.0,-4.0085728317796274e+36,1.5807276787541368e+37,-3.4991264630172726e+36,1.3799205182398377e+37,4.1846425810644175e+37,1.0863868994926122e+38
b'ASASSN-15fs',0.02902,0.0010016139694832657,600.55,6.514659169801087e+37,8.691580319298594e+36,2.3817095778996678e+37,3.5729057641902156e+36,3.4734647912330055e+38,3.5894932827575637e+37,,,,,,,
b'ASASSN-15hg',0.029771,0.0010016360096886615,3172.2,6.006517531759989e+36,1.4999371314207023e+36,2.3103027105894235e+36,5.9723932154741765e+35,8.580636223136835e+37,8.768907036382193e+36,1482.1,7.494830804549704e+36,5.422755649887276e+36,2.882756577601576e+36,2.0946525352982904e+36,1.0316996925285244e+38,1.5138817471966364e+37
b'ASASSN-15ho',0.046,0.0010022496612441555,160.05,8.666517776080767e+37,2.540305358593567e+37,7.901558799869493e+37,2.341023222113742e+37,1.4043357601273184e+39,1.3176515870379516e+38,160.05,1.360039160001623e+37,2.928129372415084e+37,1.239993924957685e+37,2.6702107419395436e+37,1.5849436914713694e+39,2.814495503170947e+38
b'CSS121006:232854+085452',0.08,0.0010043845794634766,1643.35,1.241683831486573e+37,6.689582686655612e+36,3.372361020736704e+37,1.8187640842857132e+37,8.137666546386644e+38,9.454999535973735e+37,1643.35,4.123310397185336e+37,2.5694061870558274e+37,1.1198737478298694e+38,6.983859260558737e+37,2.4233473213139452e+39,3.393831200539015e+38
b'CSS140501:170414+174839',0.07,0.0010036375757533317,135.0,6.188658029256853e+36,1.8034049019166442e+37,1.2926869655708203e+37,3.7671290661712778e+37,7.982724152288964e+37,1.6136782932961793e+38,135.0,-6.228282696022689e+36,2.8041667383631393e+37,-1.300963766454167e+37,5.857458919229482e+37,5.5735242718886744e+38,5.6483900012075185e+38
b'LSQ12fhs',0.033,0.00100173718282992,170.0,2.9317045400853114e+37,1.1087420045795122e+37,1.383540154579998e+37,5.298442359844732e+36,1.9464021609852837e+38,2.6989927515197324e+37,170.0,1.2115719092078488e+36,1.1100844324831824e+37,5.717692092196412e+35,5.238862221426294e+36,2.133402749862233e+38,5.486910911424835e+37
