Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry,Exposure Time,Pixel Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Name
ASASSN-14ay,0.030869,0.001415058,0.000672051,6.15E-05,0,67.05,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/ASASSN-14ay/1/AIS_114/AIS_114_sg29-fd-int.fits
ASASSN-14ay,0.030869,0.001415058,0.000672051,6.15E-05,0,112,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/ASASSN-14ay/2/AIS_10/AIS_10_sg66-fd-int.fits
ASASSN-14iu,0.016855,0.001415058,0.002240429,0.000380141,0.088391271,105.05,0.029007257,1.82E-17,5.98E-18,1.15E+37,4.23E+36,4.12E+37,1.67E+37,37.6148553,0.17612832,Tar archives (uncomp.)/ASASSN-14iu/1/AIS_80/AIS_80_sg28-fd-int.fits
ASASSN-15fj,0.045,0.001415058,0.00031822,1.99E-05,0.000465626,109,0.002066833,9.59E-20,4.26E-19,4.26E+35,1.89E+36,2.17E+35,9.63E+35,35.33648327,1.928137471,Tar archives (uncomp.)/ASASSN-15fj/1/AIS_0/AIS_0_sg60-fd-int.fits
ASASSN-15fj,0.045,0.001415058,0.00031822,1.99E-05,0.000958744,109,0.002965774,1.98E-19,6.11E-19,8.78E+35,2.72E+36,4.47E+35,1.38E+36,35.65014857,1.343989795,Tar archives (uncomp.)/ASASSN-15fj/2/AIS_0/AIS_0_sg49-fd-int.fits
CSS121006:232854+085452,0.08,0.001415058,0.000102276,3.55E-06,0.007508172,1643.35,0.00213748,1.55E-18,4.40E-19,2.14E+37,6.13E+36,3.50E+36,1.01E+36,36.54398013,0.125466429,Tar archives (uncomp.)/CSS121006:232854+085452/1/NGRG_HCG96/NGRG_HCG96-fd-int.fits
SN2011hb,0.029,0.001415058,0.000760844,7.41E-05,0.098247002,1643.35,0.007732049,2.02E-17,1.59E-18,3.76E+37,4.70E+36,4.58E+37,7.25E+36,37.66076523,0.068791283,Tar archives (uncomp.)/CSS121006:232854+085452/1/NGRG_HCG96/NGRG_HCG96-fd-int.fits
CSS121006:232854+085452,0.08,0.001415058,0.000102276,3.55E-06,0.009736313,221,0.006637448,2.01E-18,1.37E-18,2.77E+37,1.89E+37,4.54E+36,3.10E+36,36.65684045,0.296835796,Tar archives (uncomp.)/CSS121006:232854+085452/2/AIS_149/AIS_149_sg03-fd-int.fits
SN2011hb,0.029,0.001415058,0.000760844,7.41E-05,0.086001602,221,0.019726822,1.77E-17,4.06E-18,3.29E+37,8.20E+36,4.01E+37,1.07E+37,37.60295247,0.116136333,Tar archives (uncomp.)/CSS121006:232854+085452/2/AIS_149/AIS_149_sg03-fd-int.fits
CSS130218:092354+385837,0.05,0.001415058,0.00025833,1.45E-05,6.25E-06,1662,6.13E-05,1.29E-21,1.26E-20,7.05E+33,6.92E+34,2.92E+33,2.86E+34,33.46466994,4.259620986,Tar archives (uncomp.)/CSS130218:092354+385837/1/MISDR3_03922_0938/MISDR3_03922_0938-fd-int.fits
CSS130218:092354+385837,0.05,0.001415058,0.00025833,1.45E-05,0,110,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/CSS130218:092354+385837/2/AIS_85/AIS_85_sg59-fd-int.fits
CSS130218:092354+385837,0.05,0.001415058,0.00025833,1.45E-05,0,107,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/CSS130218:092354+385837/3/AIS_85/AIS_85_sg58-fd-int.fits
CSS130317:082848+293031,0.08,0.001415058,0.000102276,3.55E-06,0,215,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/CSS130317:082848+293031/1/AIS_215/AIS_215_sg74-fd-int.fits
CSS130317:082848+293031,0.08,0.001415058,0.000102276,3.55E-06,0,222,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/CSS130317:082848+293031/2/AIS_215/AIS_215_sg72-fd-int.fits
CSS140501:170414+174839,0.07,0.001415058,0.000132984,5.30E-06,0.000785113,135,0.002411567,1.62E-19,4.97E-19,1.72E+36,5.28E+36,3.66E+35,1.12E+36,35.56337819,1.334210128,Tar archives (uncomp.)/CSS140501:170414+174839/1/AIS_131/AIS_131_sg29-fd-int.fits
PTF13dad,0.086,0.001415058,8.87E-05,2.86E-06,0,151,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/iPTF13dad/1/AIS_58/AIS_58_sg63-fd-int.fits
iPTF13dkj,0.03,0.001415058,0.000711278,6.70E-05,0.050364932,160.1,0.017736522,1.04E-17,3.65E-18,2.06E+37,7.52E+36,2.35E+37,8.83E+36,37.37057417,0.16345906,Tar archives (uncomp.)/iPTF13dkj/1/AIS_145/AIS_145_sg20-fd-int.fits
iPTF13dkj,0.03,0.001415058,0.000711278,6.70E-05,0,183,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/iPTF13dkj/2/AIS_147/AIS_147_sg98-fd-int.fits
iPTF13dkl,0.04,0.001415058,0.000401858,2.83E-05,0.023234915,346.05,0.008194097,4.79E-18,1.69E-18,1.68E+37,6.06E+36,1.08E+37,3.97E+36,37.03458701,0.159115335,Tar archives (uncomp.)/iPTF13dkl/1/AIS_149/AIS_149_sg59-fd-int.fits
iPTF13dkl,0.04,0.001415058,0.000401858,2.83E-05,0,209.1,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/iPTF13dkl/2/AIS_149/AIS_149_sg69-fd-int.fits
iPTF13dk,0.03,0.001415058,0.000711278,6.70E-05,0.067314535,96,0.02648005,1.39E-17,5.45E-18,2.76E+37,1.11E+37,3.14E+37,1.30E+37,37.49655477,0.180318577,Tar archives (uncomp.)/iPTF13dkx/1/AIS_266/AIS_266_sg27-fd-int.fits
iPTF13dk,0.03,0.001415058,0.000711278,6.70E-05,0.052703417,2690.3,0.004426078,1.09E-17,9.12E-19,2.16E+37,2.72E+36,2.46E+37,3.86E+36,37.3902847,0.068250189,Tar archives (uncomp.)/iPTF13dkx/2/NGRG_A227/NGRG_A227-fd-int.fits
iPTF13dk,0.03,0.001415058,0.000711278,6.70E-05,0.052233193,2433.3,0.00463314,1.08E-17,9.54E-19,2.14E+37,2.76E+36,2.43E+37,3.89E+36,37.38639249,0.069367322,Tar archives (uncomp.)/iPTF13dkx/3/MISWZS01_17251_0267/MISWZS01_17251_0267-fd-int.fits
iPTF13ebh,0.01327,0.001415058,0.003608864,0.000785184,0,128,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/iPTF13ebh/2/AIS_64/AIS_64_sg31-fd-int.fits
iPTF14gdr,0.07,0.001415058,0.000132984,5.30E-06,0.008970486,112,0.008949504,1.85E-18,1.84E-18,1.96E+37,1.96E+37,4.18E+36,4.18E+36,36.62126189,0.433968037,Tar archives (uncomp.)/iPTF14gdr/1/AIS_267/AIS_267_sg57-fd-int.fits
iPTF14gdr,0.07,0.001415058,0.000132984,5.30E-06,0,286.45,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/iPTF14gdr/2/AIS_267/AIS_267_sg48-fd-int.fits
iPTF14gnl,0.05,0.001415058,0.00025833,1.45E-05,0.006088601,248,0.004954877,1.25E-18,1.02E-18,6.87E+36,5.60E+36,2.84E+36,2.32E+36,36.45296341,0.355097735,Tar archives (uncomp.)/iPTF14gnl/1/AIS_267/AIS_267_sg38-fd-int.fits
LSQ12fhs,0.033,0.001415058,0.000588608,5.03E-05,0.03287679,170,0.013906577,6.77E-18,2.86E-18,1.63E+37,7.02E+36,1.53E+37,6.74E+36,37.18533533,0.191026341,Tar archives (uncomp.)/LSQ12fhs/1/AIS_162/AIS_162_sg75-fd-int.fits
LSQ12fm,0.067,0.001415058,0.000144965,6.04E-06,0,100.05,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/LSQ12fmx/1/AIS_181/AIS_181_sg22-fd-int.fits
LSQ12fm,0.067,0.001415058,0.000144965,6.04E-06,0.000398614,236,0.001299631,8.21E-20,2.68E-19,8.01E+35,2.61E+36,1.86E+35,6.06E+35,35.2689983,1.416194476,Tar archives (uncomp.)/LSQ12fmx/3/AIS_181/AIS_181_sg23-fd-int.fits
LSQ12fm,0.067,0.001415058,0.000144965,6.04E-06,0.001311571,1696.15,0.000879354,2.70E-19,1.81E-19,2.64E+36,1.77E+36,6.11E+35,4.11E+35,35.78623761,0.292296636,Tar archives (uncomp.)/LSQ12fmx/4/MISGCSS_18648_0410o/MISGCSS_18648_0410o-fd-int.fits
LSQ12fm,0.067,0.001415058,0.000144965,6.04E-06,0,1566,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/LSQ12fmx/5/SDSS_1179_181_18586/SDSS_1179_181_18586-fd-int.fits
LSQ13cm,0.057,0.001415058,0.000199397,9.79E-06,0,120,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/LSQ13cmt/1/AIS_276/AIS_276_sg48-fd-int.fits
LSQ13crf,0.06,0.001415058,0.000180197,8.39E-06,0.037333443,216,0.013146863,7.69E-18,2.71E-18,6.03E+37,2.14E+37,1.74E+37,6.23E+36,37.24054397,0.155586336,Tar archives (uncomp.)/LSQ13crf/1/AIS_181/AIS_181_sg11-fd-int.fits
LSQ13crf,0.06,0.001415058,0.000180197,8.39E-06,0,200,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/LSQ13crf/2/AIS_180/AIS_180_sg96-fd-int.fits
LSQ13crf,0.06,0.001415058,0.000180197,8.39E-06,0.071899848,1517.75,0.00688278,1.48E-17,1.42E-18,1.16E+38,1.24E+37,3.35E+37,3.89E+36,37.5251739,0.050460023,Tar archives (uncomp.)/LSQ13crf/3/MISGCSS_18584_0410/MISGCSS_18584_0410-fd-int.fits
LSQ13cwp,0.067,0.001415058,0.000144965,6.04E-06,0.004452592,179.05,0.004986769,9.17E-19,1.03E-18,8.95E+36,1.00E+37,2.08E+36,2.33E+36,36.31705879,0.487068187,Tar archives (uncomp.)/LSQ13cwp/1/AIS_177/AIS_177_sg40-fd-int.fits
LSQ14ac,0.06,0.001415058,0.000180197,8.39E-06,0.007082916,180.05,0.00627205,1.46E-18,1.29E-18,1.14E+37,1.02E+37,3.30E+36,2.93E+36,36.51865804,0.38563739,Tar archives (uncomp.)/LSQ14act/1/AIS_344/AIS_344_sg18-fd-int.fits
LSQ14ac,0.06,0.001415058,0.000180197,8.39E-06,0,165.2,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/LSQ14act/2/AIS_344/AIS_344_sg27-fd-int.fits
LSQ14ag,0.06,0.001415058,0.000180197,8.39E-06,0.017678007,104,0.01303767,3.64E-18,2.69E-18,2.86E+37,2.11E+37,8.24E+36,6.10E+36,36.91587922,0.321569761,Tar archives (uncomp.)/LSQ14age/1/AIS_230/AIS_230_sg67-fd-int.fits
LSQ14ag,0.06,0.001415058,0.000180197,8.39E-06,0,137,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/LSQ14age/2/AIS_230/AIS_230_sg66-fd-int.fits
LSQ14ahm,0.05,0.001415058,0.00025833,1.45E-05,0.013651407,75,0.013491433,2.81E-18,2.78E-18,1.54E+37,1.52E+37,6.36E+36,6.31E+36,36.80362335,0.430581989,Tar archives (uncomp.)/LSQ14ahm/1/AIS_321/AIS_321_sg31-fd-int.fits
