col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry,Exposure Time (s),Photometry Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Path
ASASSN-14ay,0.030869,0.001415057731495088,0.0006720510651618643,6.145445917763316e-05,0.0274909080167,67.05,0.0202486065176,5.66312705143e-18,4.17121294263e-18,1.19155131793e+37,8.84326541446e+36,1.28125333186e+37,9.58090804732e+36,37.1076350078,0.580781330118,./Tar archives (uncomp.)/ASASSN-14ay/1/AIS_114/AIS_114_sg29-nd-int.fits
ASASSN-14iu,0.016855,0.001415057731495088,0.002240428634763475,0.0003801411033424986,0.69528506363,213.05,0.0571269029067,1.43228723108e-16,1.17681419988e-17,9.03977717486e+37,1.68484942244e+37,3.24047610151e+38,8.16749196172e+37,38.5106088229,1.72307594084,./Tar archives (uncomp.)/ASASSN-14iu/1/AIS_80/AIS_80_sg28-nd-int.fits
ASASSN-15fj,0.045,0.001415057731495088,0.00031822012294804625,1.985300318318065e-05,0.0556050106782,109.0,0.0225862290554,1.14546321997e-17,4.65276318542e-18,5.08993492266e+37,2.09163299755e+37,2.59155154702e+37,1.07716270368e+37,37.4135598516,1.04487143177,./Tar archives (uncomp.)/ASASSN-15fj/1/AIS_0/AIS_0_sg60-nd-int.fits
ASASSN-15fj,0.045,0.001415057731495088,0.00031822012294804625,1.985300318318065e-05,0.040649737538,109.0,0.0193114830976,8.37384593283e-18,3.97816551811e-18,3.72096895888e+37,1.78284010304e+37,1.89453951933e+37,9.15399715453e+36,37.2775036689,0.898829271084,./Tar archives (uncomp.)/ASASSN-15fj/2/AIS_0/AIS_0_sg49-nd-int.fits
CSS121006:232854+085452,0.08,0.001415057731495088,0.00010227617188434638,3.554944080985236e-06,0.0188025465237,1643.35,0.00338254283937,3.87332458388e-18,6.96803824911e-19,5.35510693995e+37,9.81168627157e+36,8.7631974056e+36,1.63423911069e+36,36.942662595,2.32879524923,./Tar archives (uncomp.)/CSS121006:232854+085452/1/NGRG_HCG96/NGRG_HCG96-nd-int.fits
CSS121006:232854+085452,0.08,0.001415057731495088,0.00010227617188434638,3.554944080985236e-06,0.0333372194377,331.0,0.0100357702699,6.86746720416e-18,2.06736867561e-18,9.49469131453e+37,2.877228687e+37,1.5537290894e+37,4.73922170695e+36,37.1913752968,1.42381178097,./Tar archives (uncomp.)/CSS121006:232854+085452/2/AIS_149/AIS_149_sg03-nd-int.fits
CSS130218:092354+385837,0.05,0.001415057731495088,0.0002583304528498816,1.4482812814514765e-05,0.0125863963734,1662.0,0.00275191605191,2.59279765292e-18,5.66894706694e-19,1.41922659117e+37,3.20309834054e+36,5.86607116788e+36,1.36416753682e+36,36.7683473276,1.86751426778,./Tar archives (uncomp.)/CSS130218:092354+385837/1/MISDR3_03922_0938/MISDR3_03922_0938-nd-int.fits
CSS130218:092354+385837,0.05,0.001415057731495088,0.0002583304528498816,1.4482812814514765e-05,0.0100338600709,221.0,0.00673810689021,2.0669751746e-18,1.38805001938e-18,1.13140573379e+37,7.62415384601e+36,4.67642488906e+36,3.1621689738e+36,36.6699139633,0.642263440436,./Tar archives (uncomp.)/CSS130218:092354+385837/2/AIS_85/AIS_85_sg59-nd-int.fits
CSS130218:092354+385837,0.05,0.001415057731495088,0.0002583304528498816,1.4482812814514765e-05,0.0152963574344,199.05,0.00876623127131,3.15104963148e-18,1.80584364189e-18,1.72479847089e+37,9.93172970666e+36,7.12908752094e+36,4.12448010786e+36,36.8530339464,0.750669973035,./Tar archives (uncomp.)/CSS130218:092354+385837/3/AIS_85/AIS_85_sg58-nd-int.fits
CSS130317:082848+293031,0.08,0.001415057731495088,0.00010227617188434638,3.554944080985236e-06,0.00449677564634,215.0,0.00457331795104,9.26335783146e-19,9.42103497913e-19,1.28071559035e+37,1.30327494297e+37,2.09578700565e+36,2.13394727666e+36,36.3213471433,0.426528219208,./Tar archives (uncomp.)/CSS130317:082848+293031/1/AIS_215/AIS_215_sg74-nd-int.fits
CSS140501:170414+174839,0.07,0.001415057731495088,0.0001329843744525163,5.296299377167396e-06,0.0159824320373,135.0,0.0108806425069,3.29238099969e-18,2.24141235643e-18,3.50080718788e+37,2.38737446502e+37,7.44884246335e+36,5.08839126321e+36,36.8720887894,0.635759125244,./Tar archives (uncomp.)/CSS140501:170414+174839/1/AIS_131/AIS_131_sg29-nd-int.fits
PTF13dad,0.086,0.001415057731495088,8.87437065542055e-05,2.8649789350460473e-06,0.0269847902118,151.0,0.0133681420234,5.55886678364e-18,2.75383725682e-18,8.85742375443e+37,4.39722485903e+37,1.25766498318e+37,6.25680434162e+36,37.0995649691,0.872964747589,./Tar archives (uncomp.)/iPTF13dad/1/AIS_58/AIS_58_sg63-nd-int.fits
iPTF13dkj,0.03,0.001415057731495088,0.0007112778969674802,6.695515937080719e-05,0.367340418099,160.1,0.0479003494163,7.56721261283e-17,9.86747197975e-18,1.50437235214e+38,2.41574059618e+37,1.71204288462e+38,3.18676856823e+37,38.233514639,2.3331809689,./Tar archives (uncomp.)/iPTF13dkj/1/AIS_145/AIS_145_sg20-nd-int.fits
iPTF13dkl,0.04,0.001415057731495088,0.0004018580929844287,2.8251992215149097e-05,0.0768882392359,346.05,0.0149059803458,1.58389772826e-17,3.07063195124e-18,5.57330918928e+37,1.14899180761e+37,3.58348704387e+37,7.8054562622e+36,37.5543058386,1.99384712033,./Tar archives (uncomp.)/iPTF13dkl/1/AIS_149/AIS_149_sg59-nd-int.fits
iPTF13dk,0.03,0.001415057731495088,0.0007112778969674802,6.695515937080719e-05,0.251551439501,189.0,0.0364823242079,5.18195965372e-17,7.51535878683e-18,1.03018075899e+38,1.77885346222e+37,1.172391686e+38,2.30569294852e+37,38.06907273,2.20828727514,./Tar archives (uncomp.)/iPTF13dkx/1/AIS_266/AIS_266_sg27-nd-int.fits
iPTF13dk,0.03,0.001415057731495088,0.0007112778969674802,6.695515937080719e-05,0.236610355843,2690.3,0.00937813564132,4.87417333037e-17,1.93189594211e-18,9.6899241146e+37,9.85982547862e+36,1.10275661536e+38,1.52861670539e+37,38.0424796718,3.13303597458,./Tar archives (uncomp.)/iPTF13dkx/2/NGRG_A227/NGRG_A227-nd-int.fits
iPTF13dk,0.03,0.001415057731495088,0.0007112778969674802,6.695515937080719e-05,0.213936132261,2433.3,0.009376574977,4.40708432459e-17,1.93157444526e-18,8.76134469938e+37,9.06439657198e+36,9.97080133181e+37,1.39466153281e+37,37.998730063,3.10488523321,./Tar archives (uncomp.)/iPTF13dkx/3/MISWZS01_17251_0267/MISWZS01_17251_0267-nd-int.fits
iPTF13ebh,0.01327,0.001415057731495088,0.0036088643153345057,0.0007851838821884023,0.469237842837,95.0,0.0702804784464,9.66629956243e-17,1.447777856e-17,3.78746315004e+37,9.85149220848e+36,2.18695049725e+38,7.41609191155e+37,38.3398389527,1.28070221416,./Tar archives (uncomp.)/iPTF13ebh/1/AIS_64/AIS_64_sg21-nd-int.fits
iPTF14gdr,0.07,0.001415057731495088,0.0001329843744525163,5.296299377167396e-06,0.0932777446129,112.0,0.0288589162451,1.92152153903e-17,5.94493674648e-18,2.04316463256e+38,6.37335910392e+37,4.34734352904e+37,1.36709960966e+37,37.6382239597,1.38104589619,./Tar archives (uncomp.)/iPTF14gdr/1/AIS_267/AIS_267_sg57-nd-int.fits
iPTF14gnl,0.05,0.001415057731495088,0.0002583304528498816,1.4482812814514765e-05,0.103180475833,248.0,0.0203973109455,2.12551780217e-17,4.20184605478e-18,1.16345036853e+38,2.39039449103e+37,4.80887456915e+37,1.02414130679e+37,37.6820434494,2.03923782363,./Tar archives (uncomp.)/iPTF14gnl/1/AIS_267/AIS_267_sg38-nd-int.fits
LSQ12fhs,0.033,0.001415057731495088,0.0005886076884361454,5.029776366735877e-05,0.208447026737,170.0,0.0350165524441,4.29400875079e-17,7.21340980348e-18,1.03156290047e+38,1.94275319022e+37,9.71497366917e+37,2.00915999876e+37,37.9874416279,2.09996190396,./Tar archives (uncomp.)/LSQ12fhs/1/AIS_162/AIS_162_sg75-nd-int.fits
LSQ12fm,0.067,0.001415057731495088,0.00014496460587866075,6.03668581195167e-06,0.010328549814,100.05,0.0101604075472,2.12768126168e-18,2.09304395473e-18,2.0754071553e+37,2.04344604006e+37,4.8137692849e+36,4.74387475392e+36,36.6824852715,0.440693219369,./Tar archives (uncomp.)/LSQ12fmx/1/AIS_181/AIS_181_sg22-nd-int.fits
LSQ12fm,0.067,0.001415057731495088,0.00014496460587866075,6.03668581195167e-06,0.0112916357174,1517.05,0.00272821432003,2.32607695779e-18,5.62012149925e-19,2.26892855096e+37,5.56272729815e+36,5.26262933052e+36,1.30871678115e+36,36.7212027819,1.74639074815,./Tar archives (uncomp.)/LSQ12fmx/2/SDSS_1179_181_18647/SDSS_1179_181_18647-nd-int.fits
LSQ12fm,0.067,0.001415057731495088,0.00014496460587866075,6.03668581195167e-06,0.0113681273304,236.0,0.00694046269498,2.34183423006e-18,1.42973531517e-18,2.28429868943e+37,1.39784337179e+37,5.29827934756e+36,3.24970344837e+36,36.7241348524,0.708068757899,./Tar archives (uncomp.)/LSQ12fmx/3/AIS_181/AIS_181_sg23-nd-int.fits
LSQ12fm,0.067,0.001415057731495088,0.00014496460587866075,6.03668581195167e-06,0.0133612771598,1696.15,0.00280667327831,2.75242309492e-18,5.78174695331e-19,2.6847999691e+37,5.74925552239e+36,6.22721551014e+36,1.3584814791e+36,36.794293896,1.99078557587,./Tar archives (uncomp.)/LSQ12fmx/4/MISGCSS_18648_0410o/MISGCSS_18648_0410o-nd-int.fits
LSQ13cm,0.057,0.001415057731495088,0.0001993971691404965,9.786433632123621e-06,0.000241576279044,120.0,0.00141885008531,4.9764713483e-20,2.92283117574e-19,3.52907785741e+35,2.07280567328e+36,1.12590101511e+35,6.61321620951e+35,35.0515002107,0.0739386982886,./Tar archives (uncomp.)/LSQ13cmt/1/AIS_276/AIS_276_sg48-nd-int.fits
LSQ13crf,0.06,0.001415057731495088,0.00018019712107696694,8.394983289527046e-06,0.261540238169,216.0,0.0347970462759,5.38772890629e-17,7.16819153285e-18,4.22782115101e+38,5.95913320335e+37,1.21894591974e+38,1.80952725388e+37,38.085984438,2.92552369989,./Tar archives (uncomp.)/LSQ13crf/1/AIS_181/AIS_181_sg11-nd-int.fits
LSQ13crf,0.06,0.001415057731495088,0.00018019712107696694,8.394983289527046e-06,0.239102387073,2770.35,0.00929019053464,4.92550917371e-17,1.91377925014e-18,3.8651112976e+38,2.34319301978e+37,1.11437108555e+38,8.52017792255e+36,38.047029835,5.68022425877,./Tar archives (uncomp.)/LSQ13crf/3/MISGCSS_18584_0410/MISGCSS_18584_0410-nd-int.fits
