sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'PS1-10w',0.031255,0.0010016812160008914,34095.85,3.32026336441668e+37,2.1781022167752766e+36,1.4066565368730045e+37,1.2858130904285103e+36,3.0604941130322193e+38,2.797572321715588e+37,224.0,2.708170065630207e+37,1.7765672707080293e+36,1.1473382402759456e+37,1.0487723831828406e+36,4.327961461377825e+38,3.956153727675831e+37
b'PTF10bjs',0.030027,0.0010016436513017115,176.05,2.3179179498921303e+37,1.5813241062986045e+36,9.068437835594882e+36,8.625398179493216e+35,3.364398406870292e+38,3.20003030508785e+37,89.05,1.2022305094034178e+38,8.201826496644321e+36,4.703511027682333e+37,4.473720412589247e+36,5.9148722700870255e+38,5.62590045113286e+37
b'PTF10icb',0.008544,0.0010012299353295549,1562.05,1.141174587057394e+38,2.6922906791828294e+37,3.648788154922654e+36,1.2122735092803101e+36,1.2493070946133305e+37,4.150698345456e+36,1640.35,1.7344742458107613e+38,4.092019659603692e+37,5.545802679896527e+36,1.8425376840428892e+36,1.538204502078986e+37,5.110531197077931e+36
b'SN2005ao',0.038407,0.001001929878341306,74.0,5.236111356890169e+37,2.8098161576467335e+36,3.3391786645008657e+37,2.4889457625016303e+36,6.2578520700207055e+38,4.664456729322174e+37,74.0,-5.0926621032000687e+36,2.7328380333579105e+35,-3.2476980494581326e+36,2.420758249331924e+35,8.103465282662802e+38,6.040133698529572e+37
b'SN2005bl',0.02406,0.0010014825345776254,105.0,1.7736755791091437e+35,1.5034930092708553e+34,4.4669427745628455e+34,5.293473452926138e+33,1.1489888108245716e+37,1.3615893631868314e+36,105.0,-1.5241730024781626e+35,1.2919969588216754e+34,-3.838578858949622e+34,4.5488416378474605e+33,-6.594175401834981e+36,7.814313770108257e+35
b'SN2005bo',0.013896,0.0010012899092071308,203.0,1.24711532962226e+38,1.8164547059025813e+37,1.052333421927964e+37,2.1529723219639078e+36,2.2500594814440093e+38,4.603403907334064e+37,96.0,1.3523662590734066e+38,1.9697553201770154e+37,1.1411456336934722e+37,2.3346735107689002e+36,3.1047953806900715e+38,6.3521108240964885e+37
b'SN2005cf',0.006461,0.0010012143266978476,204.0,2.4171544880443147e+38,7.529016611783112e+37,4.42352912189477e+36,1.9423323340816972e+36,1.1442107379858937e+37,5.024127686632084e+36,2921.95,3.708118649294925e+38,1.1550145862456935e+38,6.786066390762061e+36,2.979701457544917e+36,1.5295291755126394e+37,6.716026710019683e+36
b'SN2005ch',0.027,0.0010015574788618097,9142.25,8.175933050652112e+36,6.189299677835572e+35,2.5897116912261763e+36,2.736999601944745e+35,2.387430594322094e+37,2.523213919321024e+36,8335.15,1.940068913372119e+37,1.468660252734718e+36,6.145132446190358e+36,6.4946322465560566e+35,3.966970368388629e+37,4.1925888337266694e+36
b'SN2005eq',0.028977,0.001001612724556265,300.0,2.912152601404099e+36,2.057125664338235e+35,1.0615279737740166e+36,1.0459424476107815e+35,7.066841934746491e+37,6.963085413405035e+36,1693.05,4.232897268454757e+36,2.9900911103515342e+35,1.542961333279677e+36,1.5203073243201262e+35,1.0620891531338497e+38,1.0464953876440863e+37
b'SN2005eu',0.03412,0.001001774704144612,3352.3,2.3995679431570364e+37,1.4449615177882417e+36,1.2099877175234407e+37,1.0139874806801707e+36,1.227070014550622e+38,1.0283026965091992e+37,3352.3,4.939407270203843e+37,2.9743910550570866e+36,2.490707606690804e+37,2.08724956017615e+36,1.5875360258048158e+38,1.3303785087914748e+37
b'SN2005iq',0.034044,0.0010017721184980269,112.0,3.736139831893177e+37,2.2547105761775012e+36,1.8756364569251725e+37,1.5752860184429558e+36,1.783673967256515e+38,1.498049716247311e+37,112.0,3.492910655631618e+37,2.107925011175244e+36,1.7535292738669603e+37,1.4727321693146488e+36,2.9172422371758193e+38,2.450096814692941e+37
b'SN2005ke',0.00488,0.0010012053724706158,1690.1,7.595845722982705e+36,3.1286587057377215e+36,7.935551625722016e+34,4.611201530953966e+34,2.0583833615689127e+36,1.1960883068784961e+36,1690.1,7.398785062204319e+36,3.0474912394163246e+36,7.729677901579062e+34,4.491572136965264e+34,2.4348534565281894e+36,1.4148480806297826e+36
b'SN2005ls',0.021118,0.001001416173919727,112.0,8.765309196479036e+37,8.446668730783364e+36,1.7028463844236805e+37,2.2971376115075558e+36,4.702768232780864e+38,6.344028377744732e+37,112.0,1.1787985382504577e+38,1.1359463231408774e+37,2.290065055126675e+37,3.0892948530474934e+36,5.572582504527283e+38,7.517406726450565e+37
b'SN2006D',0.008526,0.001001229781888266,304.0,2.811979010767781e+37,6.648012528072908e+36,8.953239252306282e+35,2.9808892106105165e+35,4.24922045808553e+37,1.4147343838432395e+37,106.0,2.559505530467833e+37,6.051120853699443e+36,8.14937284173493e+35,2.7132501313323566e+35,6.33450640854629e+37,2.1090089604066866e+37
b'SN2006E',0.002686,0.0010011970825267245,2600.15,4.3136154479099355e+36,3.22252345940624e+36,1.3665499105549675e+34,1.441774408873061e+34,2.0616269064376065e+35,2.1751133210632314e+35,1675.0,1.5701477484870936e+36,1.1729923576486578e+36,4.9742154607053917e+33,5.248031191596412e+33,1.6205339538756498e+35,1.7097395165456775e+35
b'SN2006N',0.014277,0.0010012952692353163,3007.15,1.115259924426696e+37,1.5815121782636103e+36,9.932197127519079e+35,1.9780180862992385e+35,1.2317287458680112e+37,2.4530138754406477e+36,621.0,-3.2091119582017963e+35,4.550732553145828e+34,-2.8579465535376185e+34,5.691661069544277e+33,5.851928538078577e+36,1.1654239580060983e+36
b'SN2006X',0.00524,0.0010012071918758998,6466.1,6.545743570530999e+37,2.511602035455298e+37,7.883434318556978e+35,4.266640948515863e+35,2.3037696745270243e+37,1.2468370550317818e+37,4805.1,6.9585077607672235e+37,2.669979669591103e+37,8.380551162154268e+35,4.535688548252496e+35,2.6334992233607554e+37,1.4252919692406914e+37
b'SN2006ac',0.023106,0.0010014600694486149,213.0,6.129733920561247e+37,5.406693182726803e+36,1.424351184506108e+37,1.7571184924622686e+36,4.605711719803602e+38,5.681731669723904e+37,213.0,8.508531324752126e+37,7.504896444892124e+36,1.9771064825776922e+37,2.4390125131316554e+36,6.36600083638229e+38,7.853272363104933e+37
b'SN2006ax',0.016725,0.0010013331658788821,220.0,7.121746494367218e+36,8.63691144564634e+35,8.694651592284113e+35,1.4791414010944548e+35,4.877637918328167e+37,8.297878423271052e+36,108.0,6.5513376021158074e+35,7.9451469895426e+34,7.99826249907652e+34,1.3606711060974614e+34,3.740763638400125e+37,6.363818389429892e+36
b'SN2006cp',0.022289,0.0010014415524557709,93.0,4.8524709695780547e+36,4.43427852306088e+35,1.0496026557146284e+36,1.341969507225388e+35,7.124709373538833e+37,9.109297385134994e+36,93.0,5.133241435932684e+37,4.69085181462132e+36,1.1103340704885904e+37,1.4196176594223973e+36,1.0469941881746437e+38,1.3386344509732073e+37
b'SN2006cz',0.0418,0.0010020656782187606,190.0,6.428854195138535e+36,3.1775661954054908e+35,4.84892754896357e+36,3.32407890086514e+35,2.9465716109012285e+38,2.0199593462225528e+37,105.0,4.1712959677561133e+37,2.061731166371154e+36,3.1461768021163557e+37,2.1567944294283596e+36,2.5238105900450747e+38,1.7301445417434636e+37
b'SN2006le',0.017432,0.001001345224229898,221.0,8.698631513580962e+35,1.0126826426199676e+35,1.1533078570468976e+35,1.8828197732078332e+34,1.0271903429805981e+37,1.6769280437958222e+36,221.0,8.066853628168266e+36,9.391319355288932e+35,1.0695436007937919e+36,1.7460713785812436e+35,1.4440859113088715e+37,2.357526215927474e+36
b'SN2006lf',0.013189,0.0010012803469483583,110.0,-6.501309201851271e+35,9.971563868306712e+34,-4.943390490376239e+34,1.0653705707682283e+34,-6.529479290722689e+35,1.4071951411321981e+35,,,,,,,
b'SN2007S',0.01388,0.0010012896872853652,421.05,8.921961718050949e+37,1.300988241666072e+37,7.511201946475384e+36,1.5384836560871847e+36,1.0751810252361839e+38,2.202241993289952e+37,215.0,1.127054826215197e+38,1.6434559158131959e+37,9.488424936104082e+36,1.943468807020453e+36,1.3644130111810824e+38,2.794662069816679e+37
b'SN2007ca',0.014066,0.0010012922829124493,212.0,2.315827114261187e+37,3.3327240593783457e+36,2.0020847254318782e+36,4.046762338206509e+35,3.803942782067692e+37,7.688811662974648e+36,111.0,3.947651215693225e+37,5.68109428530128e+36,3.412833432859015e+36,6.898272399379439e+35,5.3238270946411025e+37,1.0760914714570624e+37
b'SN2007cq',0.026218,0.0010015367027663162,435.1,2.8326342271501495e+37,2.2070292685854095e+36,8.463009112287669e+36,9.209081290406083e+35,1.6723463386258309e+38,1.819775114711558e+37,435.1,2.523055162028802e+37,1.9658226732843544e+36,7.538085440892455e+36,8.202619266758689e+35,2.4757530462828674e+38,2.694007622547203e+37
b'SN2007fb',0.018026,0.0010013557410531108,160.0,2.328872612874115e+37,2.6230724538701997e+36,3.3008980145507256e+36,5.212146325775033e+35,6.5416688905353215e+37,1.0329351383151177e+37,160.0,2.0493580483930264e+37,2.308247610942863e+36,2.904719595072911e+36,4.58657719751655e+35,6.877255418879506e+37,1.0859245394713602e+37
b'SN2007if',0.0745,0.0010039614701092988,1632.0,5.0122773241173217e+36,1.4218948157778695e+35,1.1835016155150474e+37,4.594331769425872e+35,7.4321082623080865e+37,2.8851309246819035e+36,1632.0,-3.040299696605586e+36,8.624794873607285e+34,-7.178771983085102e+36,2.7867862413520224e+35,-5.653381455088407e+37,2.194632409732059e+36
b'SN2007le',0.006728,0.0010012160852922933,3070.0,7.38269270406777e+37,2.2087776325235537e+37,1.4648787527741838e+36,6.177366020882879e+35,3.194103601500434e+37,1.34694745334531e+37,3070.0,8.85524251759444e+37,2.6493397988321066e+37,1.7570630574315166e+36,7.40950171266442e+35,4.267576801846341e+37,1.799629073553603e+37
b'SN2007nq',0.045031,0.0010022056547560607,3098.2,6.2843040333317164e+35,2.889905357248511e+34,5.4931219686619216e+35,3.4986892140314647e+34,1.8162920473714255e+37,1.1568360272942327e+36,3098.2,3.0146374921260426e+36,1.386313741736404e+35,2.6351002987310972e+36,1.6783528648477013e+35,2.438600662547329e+36,1.5531979599321778e+35
b'SN2007qe',0.024,0.0010014810949109446,1606.1,1.4734904854211667e+36,1.252101664977254e+35,3.692548092161081e+35,4.386655406712724e+34,1.914414022028896e+37,2.2742763021144056e+36,1606.1,3.683447284319976e+36,3.1300171417358887e+35,9.230671237353794e+35,1.0965808130403428e+35,2.3154846555771983e+37,2.7507382517538174e+36
b'SN2007rx',0.0301,0.001001645842333519,248.0,1.1420878346158856e+36,7.773042208491111e+34,4.4898220118242216e+35,4.26020210791166e+34,8.242150529930686e+35,7.820627848690454e+34,248.0,1.2058985240804776e+37,8.207337336700766e+35,4.7406771820346295e+36,4.498227963301127e+35,-1.4312349642095592e+37,1.358038290913245e+36
b'SN2007sr',0.005417,0.0010012081338827729,90.0,4.893587218409516e+35,1.8165660732022657e+35,6.298044531697601e+33,3.297394997435519e+33,3.373150485705958e+35,1.7660417421923155e+35,537.1,6.655270158545431e+35,2.470526719648093e+35,8.565329677033998e+33,4.4844514970149136e+33,2.739332358921721e+35,1.434200849352683e+35
b'SN2008Z',0.02099,0.0010014134828151779,110.0,9.916052528882729e+35,9.612931201524547e+34,1.9032270255993153e+35,2.583013893028023e+34,9.487651926376971e+36,1.2876412749723732e+36,110.0,7.255117603762212e+37,7.033337729988196e+36,1.3925033028175566e+37,1.889871953732124e+36,3.73335748864177e+37,5.0668228913811675e+36
b'SN2008af',0.033507,0.0010017540129757527,1620.0,6.403079567715033e+35,3.9245692269462053e+34,3.114633170306148e+35,2.6573994754450785e+34,5.30024617637422e+36,4.5221606008396115e+35,73.0,,,,,2.0076862035084927e+37,1.712954294241133e+36
b'SN2008fr',0.039,0.001001952785047292,221.05,1.3027678347500517e+37,6.887589451948755e+35,8.56431577600496e+36,6.287628829958026e+35,1.0865626075152183e+38,7.977172438816781e+36,1632.0,5.38859979395299e+37,2.848893111390381e+36,3.542432426939903e+37,2.600733186206212e+36,2.4527425048123384e+38,1.8007199744934518e+37
b'SN2008fv',0.009346,0.0010012371003813355,1684.15,1.000330676540299e+38,2.158820590188189e+37,3.8257673692095735e+36,1.162265571637497e+36,5.801339176116755e+37,1.7624429671439821e+37,108.0,1.0964947359887378e+38,2.3663529156901625e+37,4.193547073817829e+36,1.2739968002671923e+36,5.952372629633923e+37,1.808326829451267e+37
b'SN2008fx',0.059,0.0010029303981154546,118.0,-1.614540455049816e+36,5.72255543686473e+34,-2.4076541619385798e+36,1.1750352816696157e+35,-5.954431886762771e+37,2.90601019857906e+36,112.0,,,,,-1.509380296254357e+38,7.366403072307405e+36
b'SN2008gb',0.037626,0.0010019002442059912,96.15,2.1944481091035137e+37,1.2013571599742954e+36,1.3435720337215976e+37,1.0220293074881847e+36,1.1865779325435265e+38,9.026069255989814e+36,,,,,,,
b'SN2008gl',0.034017,0.0010017712012994906,2273.75,3.6292767563324886e+35,2.191915537088625e+34,1.8191212340943454e+35,1.5290217291047058e+34,4.781231755634481e+36,4.018757578787854e+35,2273.75,2.2112242905427764e+36,1.3354773426886194e+35,1.1083434332344582e+36,9.315933215246644e+34,-5.448413922811055e+36,4.579542650043442e+35
b'SN2008hm',0.019664,0.0010013865668961337,102.05,3.8650627509464207e+36,3.995608956757058e+35,6.5144562650912345e+35,9.43391099153918e+34,1.7578138766205326e+37,2.5455784760722912e+36,,,,,,,
