Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry N/s,Exposure Time (s),Photometry Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Path
SN2008fr,0.039,0.001001952785047292,0.0004225439177653075,2.1552803910412807e-05,0.03755979299239603,1632.0,0.004797351264856097,5.258371018935444e-17,6.7162917707985366e-18,1.8996307285872786e+38,2.625958795907191e+37,1.2842838565834144e+38,1.8923353650898183e+37,38.10866102351729,0.06399136785501636,./fits files/Friedman Supernova/2418435336423079936/MISDR1_16952_0422-fd-int.fits
SN2005eq,0.028977,0.001001612724556265,0.0007620442401454929,5.2471689596582914e-05,0.01780928016767721,1693.05,0.003243308624513935,2.4932992234748093e-17,4.540632074319509e-18,4.898513076760112e+37,9.568441209356733e+36,5.972613880675872e+37,1.2370150703857916e+37,37.77616443925534,0.08994869412836011,./fits files/Friedman Supernova/2422868567306272768/MISDR1_18848_0459-fd-int.fits
SN2010Y,0.01086,0.001001252377307552,0.005382686252089959,0.0010072246200168843,0.1321730756121475,1694.0,0.008833133634066343,1.850423058570065e-16,1.236638708769288e-17,4.967212147449385e+37,9.814479204597191e+36,4.277911125966407e+38,1.1641497771849667e+38,38.63123175781772,0.11818474237847017,./fits files/Friedman Supernova/2425296288980402176/MISDR1_00398_0490-fd-int.fits
SN2010jv,0.013469,0.0010012840742891222,0.003503314997903919,0.0005251300747289229,0.0780246590461992,2640.0,0.005436432179112548,1.0923452266467888e-16,7.611005050757567e-18,4.528562698714227e+37,7.498998158247635e+36,2.5383970594166077e+38,5.669765534399024e+37,38.40455955598809,0.09700404734319427,./fits files/Friedman Supernova/2484793062182617088/NGA_NGC2388-fd-int.fits
SN2007sr,0.005417,0.0010012081338827729,0.021583362519114052,0.008542402847811398,0.31099653922277315,2334.4,0.011542241348083617,4.3539515491188243e-16,1.6159137887317064e-17,2.883471445309362e+37,1.075720200025954e+37,9.95760152282011e+38,5.41590904684991e+38,38.99815474295742,0.23621144189656965,./fits files/Friedman Supernova/2488487421453271040/NGA_Antennae-fd-int.fits
SN2008hy,0.008459,0.001001229213589488,0.008862768553607191,0.002154083653147766,0.12320832213807788,2765.1,0.00667520474981515,1.7249165099330904e-16,9.34528664974121e-18,2.7988130058350466e+37,6.839168107005074e+36,3.9688371032866665e+38,1.3678632763141034e+38,38.59866327411615,0.14967998369330146,./fits files/Friedman Supernova/2504003729343119360/LGAL_IC334-fd-int.fits
SN2009fv,0.0293,0.001001622121093591,0.0007454410012291042,5.075674513300212e-05,0.015166434194230739,12687.35,0.0010933426591916522,2.1233007871923036e-17,1.5306797228683132e-18,4.267179480210587e+37,4.284158676273765e+36,5.089488870643948e+37,6.174019086904138e+36,37.70667416901552,0.052683923450029334,./fits files/Friedman Supernova/2531166064595697664/ELAISN2_01-fd-int.fits
PS1-10w,0.031255,0.0010016812160008914,0.0006556649436648514,4.182367897872114e-05,0.061536988413281285,16222.5,0.0019476424477988753,8.615178377859381e-17,2.7266994269184256e-18,1.975937322742298e+38,1.4391982682126557e+37,2.0728845334417693e+38,2.0069600715627953e+37,38.316575111121495,0.04204825065835546,./fits files/Friedman Supernova/2538202939013464064/LOCK_01-fd-int.fits
SN2008hv,0.012549,0.0010012721212862288,0.0040342086468484525,0.0006502616022872874,0.02352628238184534,1693.05,0.0037277068298853873,3.2936795334583473e-17,5.218789561839543e-18,1.1836241112605385e+37,2.674731453661617e+36,7.639978598824925e+37,2.1206594329936604e+37,37.883092142027884,0.12054885728173104,./fits files/Friedman Supernova/2837129364280180736/MISDR2_24198_0566-fd-int.fits
SN2007le,0.006728,0.0010012160852922933,0.013999438311658605,0.00435099450238937,3.01845002521057,3070.0,0.03135615542355122,4.225830035294798e-15,4.3898617592971706e-17,4.325979229787654e+38,1.295040256951138e+38,9.689804698388585e+39,4.1813923298802497e+39,39.98631502377245,0.18740889750250256,./fits files/Friedman Supernova/2909398064550641664/MISWZS00_29365_0165-fd-int.fits
