Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry N/s,Exposure Time (s),Photometry Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Path
SN2008fr,0.039,0.001001952785047292,0.0004225439177653075,2.1552803910412807e-05,0.1099270351402939,1632.0,0.008207146443605878,2.264496923890054e-17,1.6906721673828108e-18,8.180685474498514e+37,7.483975887949311e+36,5.530718224640551e+37,5.793006148633707e+36,37.74278153288591,0.04548903961106674,./fits files/Friedman Supernova/2418435336423079936/MISDR1_16952_0422-nd-int.fits
SN2005eq,0.028977,0.001001612724556265,0.0007620442401454929,5.2471689596582914e-05,0.12066679751545682,1693.05,0.008442265286451214,2.4857360288184105e-17,1.73910664900895e-18,4.883653886343802e+37,4.855443019774521e+36,5.9544965039239135e+37,7.201253387865683e+36,37.774845044607694,0.052522738187455766,./fits files/Friedman Supernova/2422868567306272768/MISDR1_18848_0459-nd-int.fits
SN2005ch,0.027,0.0010015574788618097,0.0008769673171590443,6.485507629283024e-05,0.1455645377608417,1704.0,0.009242575216039498,2.998629477873339e-17,1.9039704945041365e-18,5.099633963528084e+37,5.0386563883811635e+36,7.1555397047813875e+37,8.831064106657235e+36,37.85464239588318,0.05359878596288609,./fits files/Friedman Supernova/2428216591863775232/MISDR1_33770_0534-nd-int.fits
SN2008fv,0.009346,0.0010012371003813355,0.007263108431752734,0.001589282176901778,8.71584053932595,1684.15,0.0719389758606846,1.7954631511011453e-15,1.4819429027301027e-17,3.561170942880212e+38,7.691006547015532e+37,4.138427312343376e+39,1.2723405729276803e+39,39.61683533162007,0.13352185461274216,./fits files/Friedman Supernova/2486587465159147520/NGA_NGC3147-nd-int.fits
SN2006X,0.00524,0.0010012071918758998,0.02306434010168935,0.00948327200936316,21.776594856256573,2932.2,0.0861783538847773,4.485978540388854e-15,1.7752740900264124e-17,2.7791654450206625e+38,1.0664225927593862e+38,1.02559387236511e+40,5.767986266277255e+39,40.01097541739513,0.2442491784161298,./fits files/Friedman Supernova/2489367030554165248/NGA_NGC4321-nd-int.fits
SN2008hy,0.008459,0.001001229213589488,0.008862768553607191,0.002154083653147766,1.0995516717623675,4375.2,0.015852904984900235,2.265076443830477e-16,3.2656984268894485e-18,3.6752650772930716e+37,8.773359030777298e+36,5.211683800512597e+38,1.775470315647547e+38,38.71697805864103,0.14795160074617628,./fits files/Friedman Supernova/2504003729343119360/LGAL_IC334-nd-int.fits
SN2009fv,0.0293,0.001001622121093591,0.0007454410012291042,5.075674513300212e-05,0.16713957297887236,27648.05,0.00245871042305323,3.4430752033647705e-17,5.064943471489653e-19,6.919518866683014e+37,4.941148516909302e+36,8.252948915206178e+37,8.143034809686662e+36,37.916609156885336,0.042851047790651006,./fits files/Friedman Supernova/2531166064595697664/ELAISN2_01-nd-int.fits
PS1-10w,0.031255,0.0010016812160008914,0.0006556649436648514,4.182367897872114e-05,0.30123420211025764,34095.85,0.0029723596934249532,6.205424563471308e-17,6.123060968455403e-19,1.4232473734886753e+38,9.44157076432238e+36,1.4930774543353596e+38,1.374093172083699e+37,38.174082337609775,0.039968528124519356,./fits files/Friedman Supernova/2538202939013464064/LOCK_01-nd-int.fits
SN2007le,0.006728,0.0010012160852922933,0.013999438311658605,0.00435099450238937,17.131860332559196,3070.0,0.07470214509997787,3.529163228507194e-15,1.538864189059544e-17,3.612801910521565e+38,1.0810044306893836e+38,8.092351596574238e+39,3.4912178129766374e+39,39.908074743739746,0.18736415653763208,./fits files/Friedman Supernova/2909398064550641664/MISWZS00_29365_0165-nd-int.fits
SN2007nq,0.045031,0.0010022056547560607,0.00031778650086738074,1.4018050293149311e-05,0.02105705948217878,3098.2,0.0026070187117370044,4.337754253328829e-18,5.370458546178229e-19,2.107883316886597e+37,2.783920975843903e+36,1.0717709816161917e+37,1.492373536959715e+36,37.030101994268925,0.06047276919764024,./fits files/Friedman Supernova/2915555329666187264/MISWZS01_29158_0269-nd-int.fits
SN2008gl,0.034017,0.0010017712012994906,0.0005541865013831702,3.245256583564145e-05,0.03175595507562292,2273.75,0.0037371560139088365,6.5417267455783214e-18,7.698541388652203e-19,1.784639634817156e+37,2.360656553564627e+36,1.582437112718493e+37,2.2891355091208014e+36,37.19932645983187,0.06282454525046333,./fits files/Friedman Supernova/2917138626410184704/MISWZS01_17216_0267-nd-int.fits
SNF20080522-011,0.03777,0.0010019056624074067,0.00045026849013933074,2.372248403243428e-05,0.3256387414859394,1939.0,0.01295922777651245,6.708158074610352e-17,2.6696009219615647e-18,2.2687815187789387e+38,1.5318231823892582e+37,1.634497326266576e+38,1.399795434996978e+37,38.213384214492024,0.037193296277891925,./fits files/Friedman Supernova/2933393806315225088/MISWZN15_33671_0338-nd-int.fits
SN2009al,0.022105,0.001001437474078649,0.0013055718662458283,0.00011820744788386742,0.2551556760767992,3858.85,0.00813155607695313,5.256206927182063e-17,1.6751005518523446e-18,5.947321511045939e+37,5.797814303662654e+36,1.2423449030944327e+38,1.6528872159720512e+37,38.09424218256866,0.05778103933272434,./fits files/Friedman Supernova/2946587946049863680/MISWZN11_12330_0313-nd-int.fits
SNF20080522-000,0.04526,0.0010022159702698938,0.00031461075684685087,1.380702331410199e-05,0.10682916416773586,1592.6,0.008190144686846791,2.2006807818553587e-17,1.6871698054904389e-18,1.0806644517787034e+38,9.648647025778011e+36,5.43981857714536e+37,5.411919178189462e+36,37.73558441582713,0.04320670997133623,./fits files/Friedman Supernova/2948945298979815424/MISGCSN1_33695_0222-nd-int.fits
SN2005cf,0.006461,0.0010012143266978476,0.015178645460051397,0.004931532833498235,25.37043276408338,4583.5,0.07439869553929919,5.226309149401176e-15,1.532613128109563e-17,4.931904977402404e+38,1.5362708619611368e+38,1.197754193514462e+40,5.391086914598741e+39,40.07836770006202,0.19547577550959253,./fits files/Friedman Supernova/3052176246487121920/GI1_026023_Arp254-nd-int.fits
SN2011de,0.029187,0.0010016188219243009,0.0007511870411215415,5.1348079164974215e-05,0.044624301480025594,3456.9,0.0035928766363935785,9.192606104885273e-18,7.401325870970772e-19,1.8328961876913228e+37,1.9572016458457072e+36,2.202956582263677e+37,2.793059553940846e+36,37.343005937791204,0.05506283517658902,./fits files/Friedman Supernova/3057911299137601536/GI1_047105_UGC09992-nd-int.fits
SN2005eu,0.03412,0.001001774704144612,0.0005508705925058629,3.2160036676430004e-05,0.19853023299650666,3352.3,0.007695589413677041,4.089722799728037e-17,1.5852914192174704e-18,1.1226512880152164e+38,8.039869470969852e+36,9.894969283302596e+37,9.142534150411827e+36,37.99541445037537,0.04012697784556092,./fits files/Friedman Supernova/3071351729275535360/GI1_113008_RW_TRI-nd-int.fits
PTF10icb,0.008544,0.0010012299353295549,0.00868762250342253,0.0020892960233499943,8.111141817869132,1640.35,0.0703190092983221,1.6708952144810412e-15,1.4485715915454355e-17,2.766283547057829e+38,6.530697585613477e+37,3.845188351082734e+39,1.2958381056285171e+39,39.58491761795603,0.1463583282093219,./fits files/Friedman Supernova/3074201663414730752/GI1_080030_IRASF12522p5909-nd-int.fits
SN2007qe,0.024,0.0010014810949109446,0.00110845655195636,9.234367990048513e-05,0.09720004569556531,1606.1,0.007779415255862928,2.0023209413286453e-17,1.602559542707763e-18,2.6783889710400174e+37,3.1265420473273365e+36,4.750204485819137e+37,6.812310618359658e+36,37.67671230544621,0.062282558980286694,./fits files/Friedman Supernova/3166032874566582272/GI4_042049_AOHI235137p272810-nd-int.fits
SNF20080514-002,0.022095,0.0010014372533958503,0.0013067482120049836,0.00011836818019656393,0.19386413449721762,1570.3,0.011111109119152404,3.9936011706426826e-17,2.288888478545395e-18,4.51454539160193e+37,4.8999678124583577e+36,9.438998589585855e+37,1.3343919342095215e+37,37.97492592119569,0.06139624327974702,./fits files/Friedman Supernova/3186087966657216512/GI5_002024_HI1328461p105719-nd-int.fits
SN2010ai,0.018369,0.0010013619743254806,0.0018875726040416022,0.00020619565160921282,0.14516250198636277,25656.55,0.0023786365612523718,2.990347540919073e-17,4.899991316179886e-19,2.323202471823567e+37,2.5965453794366533e+36,7.016341343129434e+37,1.096540923924854e+37,37.84611070918231,0.06787321898299388,./fits files/Friedman Supernova/3187917554207162368/GI5_025001_COMA-nd-int.fits
SN2005ch,0.027,0.0010015574788618097,0.0008769673171590443,6.485507629283024e-05,0.1278791683216848,9142.25,0.0037400150647072406,2.6343108674267068e-17,7.704431033296915e-19,4.48005372759422e+37,3.635768702534469e+36,6.286177117146685e+37,6.90199114527744e+36,37.79838661338468,0.04768393592288202,./fits files/Friedman Supernova/3383190819233071104/WDST_J1423p0149-nd-int.fits
SN2009kq,0.011698,0.0010012618172426354,0.004640803214111453,0.0008041476292004615,0.8967257294393014,1684.15,0.023074878868068912,1.8472550026449608e-16,4.7534250468221956e-18,5.76095126179833e+37,1.0060738608911552e+37,4.277670581134899e+38,1.052369155350846e+38,38.63120733696673,0.10684275668857199,./fits files/Friedman Supernova/3715718319710404608/MISGCSAN_15766_1268-nd-int.fits
SN2011df,0.014547,0.0010012991554340914,0.003004735264253154,0.00041626658004855215,0.26487626083695415,192.0,0.03714247980485479,5.456450973241255e-17,7.651350839800087e-18,2.6430605068659087e+37,5.2223541284355384e+36,1.2706715376855696e+38,3.0663290803687176e+37,38.10403330208339,0.1048020483506837,./fits files/Friedman Supernova/6371091720297250816/AIS_5_sg40-nd-int.fits
SN2009fv,0.0293,0.001001622121093591,0.0007454410012291042,5.075674513300212e-05,0.16790064218781175,227.0,0.027196514406987875,3.458753229068922e-17,5.6024819678395025e-18,6.951026861206689e+37,1.2262266099478616e+37,8.290528676781297e+37,1.567687686393149e+37,37.918582225856426,0.0821223999206463,./fits files/Friedman Supernova/6371267618535374848/AIS_10_sg18-nd-int.fits
