Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry (counts s-1 pi-1 kpc-2),Exposure Time (s),Photometry Error (counts s-1 pi-1 kpc-2),Flux (erg s-1 cm-2 A-1 pi-1 kpc-2),Flux error (erg s-1 cm-2 A-1 pi-1 kpc-2),Luminosity (erg s-1 A-1 kpc-2),Luminosity Error (erg s-1 A-1 kpc-2),Surface Brightness (erg s-1 A-1 Arcsecond^-2),Surface Brightness error (erg s-1 A-1 Arcsecond^-2),File Path
SN2008fr,0.039,0.001001952785047292,2366.6179016104725,120.55534245077092,0.029978895510442,1632.0,0.0042859562514256854,6.175652475151052e-18,8.829069877936912e-19,2.231006364638008e+37,3.400681286517744e+36,1.4666498892108919e+37,2.3571217968616605e+36,./fits files/Friedman Supernova/2418435336423079936/MISDR1_16952_0422-nd-int.fits
SN2005eq,0.028977,0.001001612724556265,1312.259770914449,90.14178446371375,0.025695375494389706,1693.05,0.0038957635284074792,5.2932473518442795e-18,8.025272868519407e-19,1.0399490413107655e+37,1.7394385561111328e+36,3.7907869186476835e+36,6.854424012310322e+35,./fits files/Friedman Supernova/2422868567306272768/MISDR1_18848_0459-nd-int.fits
SN2010Y,0.01086,0.001001252377307552,185.78084494739508,34.17538094699243,0.24370166266237253,1694.0,0.011994234737489782,5.020254250844874e-17,2.470812355922895e-18,1.3476198203750854e+37,2.5920577041394564e+36,6.954498580476116e+35,1.8509362798011257e+35,./fits files/Friedman Supernova/2425296288980402176/MISDR1_00398_0490-nd-int.fits
SN2010jv,0.013469,0.0010012840742891222,285.4439297060965,42.315052882863796,0.3998642270377577,2640.0,0.01230705996286881,8.237203076977809e-17,2.5352543523509745e-18,3.41491770972856e+37,5.23649821574524e+36,2.7076875852440645e+36,5.7750412411982586e+35,./fits files/Friedman Supernova/2484793062182617088/NGA_NGC2388-nd-int.fits
SN2007sr,0.005417,0.0010012081338827729,46.33198368022629,17.10610569198117,0.5285549632516124,2334.4,0.015047260918356769,1.0888232242983216e-16,3.0997357491814944e-18,7.210899434306493e+36,2.6846440463188507e+36,9.280424303056706e+34,4.866023115225128e+34,./fits files/Friedman Supernova/2488487421453271040/NGA_Antennae-nd-int.fits
SN2006X,0.00524,0.0010012071918758998,43.35697425510799,16.549026185280148,5.05637230959206,2932.2,0.0415262517149624,1.0416126957759643e-15,8.554407853282255e-18,6.4530268817212215e+37,2.476593738263049e+37,7.771770010508523e+35,4.206690677233837e+35,./fits files/Friedman Supernova/2489367030554165248/NGA_NGC4321-nd-int.fits
SN2009fv,0.0293,0.001001622121093591,1341.4877882369922,91.12791763624364,0.03942712584565544,27648.05,0.0011941676097761739,8.121987924205021e-18,2.459985276138918e-19,1.6322689850511005e+37,1.2431188318975411e+36,6.082413640455668e+36,6.207262045016316e+35,./fits files/Friedman Supernova/2531166064595697664/ELAISN2_01-nd-int.fits
PS1-10w,0.031255,0.0010016812160008914,1525.1692341678076,97.08800580966158,0.07718657766259626,34095.85,0.0015045967236072307,1.590043499849483e-17,3.0994692506308955e-19,3.6468499644891084e+37,2.4957283120247526e+36,1.5450176020735417e+37,1.44404300597182e+36,./fits files/Friedman Supernova/2538202939013464064/LOCK_01-nd-int.fits
SN2008hv,0.012549,0.0010012721212862288,247.8800893903209,39.44790201651689,0.073083956059831,1693.05,0.006570162676431037,1.5055294948325187e-17,1.3534535113447937e-18,5.410304773720946e+36,9.982260995264891e+35,3.725296752607855e+35,9.076876883459529e+34,./fits files/Friedman Supernova/2837129364280180736/MISDR2_24198_0566-nd-int.fits
SN2007le,0.006728,0.0010012160852922933,71.43143730039576,21.228325806293284,3.705946419117778,3070.0,0.03474404473460737,7.634249623382622e-16,7.157273215329119e-18,7.815175960682844e+37,2.339317055039792e+37,1.5506923656307686e+36,6.540856261435621e+35,./fits files/Friedman Supernova/2909398064550641664/MISWZS00_29365_0165-nd-int.fits
SN2007nq,0.045031,0.0010022056547560607,3146.766767218101,138.6711966393725,0.005137732534438182,3098.2,0.0012877484427759578,1.0583729020942654e-18,2.652761792118473e-19,5.143045117545149e+36,1.3105966439996248e+36,4.495545405053996e+36,1.162598399118736e+36,./fits files/Friedman Supernova/2915555329666187264/MISWZS01_29158_0269-nd-int.fits
SN2008gl,0.034017,0.0010017712012994906,1804.4466934942354,105.48322984896629,0.008658095459425834,2273.75,0.0019513709209569591,1.7835676646417216e-18,4.0198240971713355e-19,4.8657268478072064e+36,1.1353340715307755e+36,2.4388735338810674e+36,5.866568196857594e+35,./fits files/Friedman Supernova/2917138626410184704/MISWZS01_17216_0267-nd-int.fits
SNF20080522-011,0.03777,0.0010019056624074067,2220.8971355969434,116.84376099009683,0.09465228596509234,1939.0,0.006986773142451446,1.949837090880902e-17,1.439275267344998e-18,6.594588719016192e+37,6.052501009741241e+36,4.0683064434730493e+37,4.303848599562955e+36,./fits files/Friedman Supernova/2933393806315225088/MISWZN15_33671_0338-nd-int.fits
SN2009al,0.022105,0.001001437474078649,765.9478775959686,69.06509408492059,0.08711056907259536,3858.85,0.004751234595963979,1.7944777228954645e-17,9.787543267685796e-19,2.0304253828512306e+37,2.1738647777442333e+36,4.3200000350330057e+36,6.0469717530320945e+35,./fits files/Friedman Supernova/2946587946049863680/MISWZN11_12330_0313-nd-int.fits
SNF20080522-000,0.04526,0.0010022159702698938,3178.5308615076674,139.35636153812425,0.02960658213375258,1592.6,0.004311623164217499,6.0989559195530314e-18,8.881943718288047e-19,2.9949481585737076e+37,4.5718171945434843e+36,2.6443153196228025e+37,4.19976265757768e+36,./fits files/Friedman Supernova/2948945298979815424/MISGCSN1_33695_0222-nd-int.fits
SN2005ke,0.00488,0.0010012053724706158,37.61001328155109,15.415591730387362,1.0420020214439756,1690.1,0.02483007814774331,2.1465241641745896e-16,5.114996098435121e-18,1.152726809560598e+37,4.75591435940392e+36,1.2042797393770586e+35,7.003727314945894e+34,./fits files/Friedman Supernova/3047848568720195584/GI1_009075_NGC1371-nd-int.fits
SN2005cf,0.006461,0.0010012143266978476,65.88203161025766,20.38935228192422,12.9307697638815,4583.5,0.053114558297424806,2.6637385713595888e-15,1.094159900926951e-17,2.5136870290369985e+38,7.830379499038387e+37,4.60018911959195e+36,2.0199905506425188e+36,./fits files/Friedman Supernova/3052176246487121920/GI1_026023_Arp254-nd-int.fits
SN2005eu,0.03412,0.001001774704144612,1815.308374787418,105.79573587951711,0.05367458245819444,3352.3,0.004001408549251505,1.1056963986388054e-17,8.2429016114581e-19,3.0351971193944667e+37,2.908689844976867e+36,1.530505208324284e+37,1.7166443470271216e+36,./fits files/Friedman Supernova/3071351729275535360/GI1_113008_RW_TRI-nd-int.fits
SN2006D,0.008526,0.001001229781888266,114.62269520817689,26.8705538352161,1.1843850950071544,3151.05,0.01938736609798899,2.439833295714738e-16,3.993797416185732e-18,4.022200240719117e+37,9.531954155353152e+36,1.2806539784950085e+36,4.268956333805024e+35,./fits files/Friedman Supernova/3073427607228776448/GI1_073007_J125308m091327-nd-int.fits
PTF10icb,0.008544,0.0010012299353295549,115.10629054221053,26.926973028956283,3.4406802438479245,1640.35,0.045798779733510105,7.087801302326724e-16,9.434548625103082e-18,1.1734349322157291e+38,2.772803020955634e+37,3.751937284444523e+36,1.2475438227057202e+36,./fits files/Friedman Supernova/3074201663414730752/GI1_080030_IRASF12522p5909-nd-int.fits
SN2006E,0.002686,0.0010011970825267245,11.40477109609192,8.49657497746043,2.5916504476728894,1675.0,0.03933514968332831,5.338799922206153e-16,8.103040834765632e-18,8.656031751823314e+36,6.467897282786859e+36,2.7422239091680123e+34,2.8934745152577215e+34,./fits files/Friedman Supernova/3116282172432973824/GI3_046017_NGC5338-nd-int.fits
SN2007qe,0.024,0.0010014810949109446,902.1553422505009,74.89553857614163,0.019994299296660637,1606.1,0.003528310646703844,4.118825655112091e-18,7.268319932209918e-19,5.509514973642891e+36,1.0790913057293506e+36,1.3806773240780728e+36,2.937081981839003e+35,./fits files/Friedman Supernova/3166032874566582272/GI4_042049_AOHI235137p272810-nd-int.fits
SNF20080514-002,0.022095,0.0010014372533958503,765.2583648579625,69.03428923004736,0.04591608682439527,1570.3,0.005407432467829602,9.458713885825425e-18,1.1139310883728979e-18,1.0692553251846736e+37,1.599053618205051e+36,2.2729349493513676e+36,3.9696813259673076e+35,./fits files/Friedman Supernova/3186087966657216512/GI5_002024_HI1328461p105719-nd-int.fits
SN2011by,0.002843,0.0010011975160341862,12.776117756842664,8.992340981184967,6.878471757846362,2803.1,0.049536654856661005,1.4169651821163504e-15,1.0204550900472166e-17,2.5744395560598008e+37,1.81736550623146e+37,9.136484146137156e+34,9.107764137520459e+34,./fits files/Friedman Supernova/3229048085179006976/GI6_012039_HRS74_75-nd-int.fits
SN2005ch,0.027,0.0010015574788618097,1140.2933500868915,84.09709943757059,0.0357179904954533,9142.25,0.001976591657027691,7.35790604206338e-18,4.071778813477044e-19,1.2513259083668572e+37,1.17338711511536e+36,3.963551700283795e+36,4.7284719043914e+35,./fits files/Friedman Supernova/3383190819233071104/WDST_J1423p0149-nd-int.fits
SN2009kq,0.011698,0.0010012618172426354,215.47994040326142,36.792777217038434,0.18009358534440695,1684.15,0.010340909586754612,3.709927858094783e-17,2.1302273748714503e-18,1.1569985489101267e+37,2.106018912254473e+36,6.925277176828168e+35,1.7283770305745955e+35,./fits files/Friedman Supernova/3715718319710404608/MISGCSAN_15766_1268-nd-int.fits
SN2005ao,0.038407,0.001001929878341306,2295.7959395543976,118.76665642982175,0.07959832747459741,74.0,0.032797150220145205,1.6397255459767065e-17,6.756212945349912e-18,5.739821417315839e+37,2.3849697881424456e+37,3.660405195455853e+37,1.5326881328319909e+37,./fits files/Friedman Supernova/6371056515524067328/AIS_4_sg21-nd-int.fits
SN2011df,0.014547,0.0010012991554340914,332.8080220233832,45.670311293177576,0.03961199331051699,192.0,0.014363580816657832,8.1600706219665e-18,2.9588976482315133e-18,3.9526718923939616e+36,1.535251784490033e+36,3.6541136505973814e+35,1.5052666426943013e+35,./fits files/Friedman Supernova/6371091720297250816/AIS_5_sg40-nd-int.fits
SN2010gn,0.0365,0.0010018585895544463,2075.2155569831375,113.00542948577129,0.02877777721105195,177.0,0.012750933937352828,5.928222105476702e-18,2.6266923910946823e-18,1.86889548069597e+37,8.347539945175633e+36,1.0773224933099323e+37,4.8475585847973995e+36,./fits files/Friedman Supernova/6371302827603525632/AIS_11_sg41-nd-int.fits
SN2010ag,0.033791,0.001001763552513778,1780.7267445808168,104.7973943370173,0.0975152554430388,156.55,0.02495799806522925,2.0088142621265993e-17,5.141347601437225e-18,5.405816237703063e+37,1.422051615242197e+37,2.6739670974353044e+37,7.20800353690062e+36,./fits files/Friedman Supernova/6371478745169002496/AIS_16_sg37-nd-int.fits
SN2011de,0.029187,0.0010016188219243009,1331.2263727379727,90.78296962946467,0.0007131429397987483,110.0,0.0025461969456892363,1.4690744559854215e-19,5.245165708119827e-19,2.9291595213455393e+35,1.0460253757325043e+36,1.0831595568810331e+35,3.868751245151117e+35,./fits files/Friedman Supernova/6371689904014884864/AIS_22_sg86-nd-int.fits
SN2006le,0.017432,0.001001345224229898,477.3059163256379,54.6271016125564,0.048639256417634946,221.0,0.014835333943202045,1.0019686822032799e-17,3.0560787922996214e-18,7.000361547704964e+36,2.2854097222819112e+36,9.281427730939107e+35,3.2109092464177773e+35,./fits files/Friedman Supernova/6372780528281583616/AIS_53_sg01-nd-int.fits
SN2008hm,0.019664,0.0010013865668961337,606.7700336452713,61.533966798008635,0.09593445066778881,102.05,0.030660609099064953,1.9762496837564495e-17,6.31608547440738e-18,1.7629452730172556e+37,5.921785707337068e+36,2.9713954517318116e+36,1.0425968828193743e+36,./fits files/Friedman Supernova/6372850966818979840/AIS_55_sg66-nd-int.fits
SN2005ls,0.021118,0.001001416173919727,699.376011332005,66.02276149201299,0.45044426379810676,112.0,0.06341785004619932,9.279151834240999e-17,1.3064077109517059e-17,9.56818572822214e+37,1.6324308119726834e+37,1.8588221028577264e+37,3.624449347137098e+36,./fits files/Friedman Supernova/6372991654915211264/AIS_59_sg20-nd-int.fits
SN2006lf,0.013189,0.0010012803469483583,273.7326469611217,41.44279934695845,0.10932547803634493,110.0,0.03152567227280123,2.2521048475487054e-17,6.4942884881970535e-18,8.948595033199137e+36,2.922771689953858e+36,6.804229458390963e+35,2.4495309404858745e+35,./fits files/Friedman Supernova/6373062015069454336/AIS_61_sg12-nd-int.fits
SN2011B,0.00467,0.001001204370927347,34.44585286900475,14.75417918054207,1.2680906963209986,142.0,0.09449982130617612,2.612266834421257e-16,1.946696318907228e-17,1.2842810287192428e+37,5.609060918984019e+36,1.2288376488254752e+35,7.517176131967626e+34,./fits files/Friedman Supernova/6373449034572496896/AIS_72_sg04-nd-int.fits
SN2011aa,0.012512,0.0010012716582466642,246.42447748375125,39.332521999391815,0.4453150549064277,335.0,0.03645954865300568,9.17349013107241e-17,7.510667022519169e-18,3.277008143155397e+37,5.936336515094785e+36,2.2431528316307405e+36,5.4158088825829985e+35,./fits files/Friedman Supernova/6373449093628297216/AIS_72_sg59-nd-int.fits
SN2008Z,0.02099,0.0010014134828151779,690.9621819973887,65.6279333739455,0.022799706166454773,110.0,0.01439687683109696,4.696739470289683e-18,2.9657566272059735e-18,4.78357343463817e+36,3.0559779550037294e+36,9.181300939284258e+35,5.9299299780722025e+35,./fits files/Friedman Supernova/6373941690943668224/AIS_86_sg74-nd-int.fits
SN2010jv,0.013469,0.0010012840742891222,285.4439297060965,42.315052882863796,0.3842924737603019,312.0,0.03509567863128988,7.916424959462219e-17,7.229709798045716e-18,3.2819319299486484e+37,5.769741754203936e+36,2.602243186423488e+36,5.984183092454254e+35,./fits files/Friedman Supernova/6374011998484561920/AIS_88_sg17-nd-int.fits
SN2006N,0.014277,0.0010012952692353163,320.60606568867036,44.830374965294624,0.2313527217930843,109.0,0.04607061986647168,4.7658660689375365e-17,9.490547692493166e-18,2.2227235103613204e+37,5.433829240919631e+36,1.9794962215851486e+36,5.574897164849117e+35,./fits files/Friedman Supernova/6374258297679118336/AIS_95_sg25-nd-int.fits
SN2009an,0.009228,0.0010012360058687584,134.23422587077545,29.06993659954219,0.12441303872171364,108.0,0.03394072167797977,2.562908597667301e-17,6.991788665663832e-18,4.9548861811476564e+36,1.731999343364811e+36,1.8475425300115513e+35,7.597122219796034e+34,./fits files/Friedman Supernova/6374328692193099776/AIS_97_sg49-nd-int.fits
SN2009do,0.039734,0.0010019816236937805,2455.742686611039,122.76748069340078,0.03138940054177508,288.05,0.010438967808452736,6.466216511605667e-18,2.1504273685412634e-18,2.4273718629333295e+37,8.170337106927048e+36,1.6558335278010939e+37,5.634539169132633e+36,./fits files/Friedman Supernova/6374539776950796288/AIS_103_sg29-nd-int.fits
SN2011ao,0.010694,0.0010012505905616358,180.15771517167332,33.656565309108956,1.3952643087933145,96.0,0.12055705283670913,2.874244476114228e-16,2.483475288436208e-17,7.479536153889966e+37,1.5530089279359157e+37,3.743044844524282e+36,1.0454607514460196e+36,./fits files/Friedman Supernova/6374856428783403008/AIS_112_sg22-nd-int.fits
SN2006ac,0.023106,0.0010014600694486149,836.5231396132921,72.1466754208983,0.25402529901330023,213.0,0.03453414185852455,5.2329211596739846e-17,7.114033222856056e-18,6.479211154157646e+37,1.0499875793516198e+37,1.50555834913706e+37,2.763842895302196e+36,./fits files/Friedman Supernova/6374891607786782720/AIS_113_sg17-nd-int.fits
SN2010ew,0.025501,0.0010015181897824045,1017.8606472816703,79.50377330908992,0.115693350949704,140.0,0.028746844621775562,2.3832830295639022e-17,5.921849992085766e-18,3.6074044852135555e+37,9.417300760822956e+36,1.0199541845350751e+37,2.779268509080937e+36,./fits files/Friedman Supernova/6375947167940476928/AIS_143_sg44-nd-int.fits
SN2010ex,0.022812,0.0010014533293209546,815.4754527448788,71.24200303214099,0.15384813464796324,220.0,0.02644446462022141,3.1692715737480424e-17,5.44755971176561e-18,3.8231443618320243e+37,7.40579888321034e+36,8.660223276038891e+36,1.8402848978954212e+36,./fits files/Friedman Supernova/6376087915092508672/AIS_147_sg53-nd-int.fits
SN2007cq,0.026218,0.0010015367027663162,1075.5653699379186,81.70193965166851,0.10498032569211453,435.1,0.015533145328385053,2.1625947092575593e-17,3.1998279376473208e-18,3.4637769904174138e+37,5.792232041110993e+36,1.0348662722446544e+37,1.9007126387968757e+36,./fits files/Friedman Supernova/6376404588399951872/AIS_156_sg66-nd-int.fits
SN2007rx,0.0301,0.001001645842333519,1415.2465994879774,93.56861405455982,0.01322487124847899,248.0,0.0073024718833126796,2.7243234771866718e-18,1.5043092079624119e-18,5.785065592227159e+36,3.21855478201653e+36,2.2742484464484415e+36,1.2741941008448517e+36,./fits files/Friedman Supernova/6376756456816902144/AIS_166_sg89-nd-int.fits
SN2009kk,0.012859,0.0010012760545149498,260.24321505084214,40.41438462928197,0.06486176407960251,112.0,0.024064972420643854,1.3361523400398116e-17,4.957384318652634e-18,5.044197646767988e+36,2.0326966686460905e+36,3.646439480407759e+35,1.5747682541791295e+35,./fits files/Friedman Supernova/6377143446255173632/AIS_177_sg53-nd-int.fits
