sn,Redshift,Redshift Error,NUV Exposure Time (s),NUV 1kpc Luminosity (erg s-1 A-1 kpc-2),NUV 1kpc Luminosity Error (erg s-1 A-1 kpc-2),NUV 1kpc Surface Brightness (erg s-1 A-1 arcsec^-2),NUV 1kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),NUV 5kpc Surface Brightness (erg s-1 A-1 arcsec^-2),NUV 5kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),FUV Exposure Time (s),FUV 1kpc Luminosity (erg s-1 A-1 kpc-2),FUV 1kpc Luminosity Error (erg s-1 A-1 kpc-2),FUV 1kpc Surface Brightness (erg s-1 A-1 arcsec^-2),FUV 1kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),FUV 5kpc Surface Brightness (erg s-1 A-1 arcsec^-2),FUV 5kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2)
ASASSN-14iu,0.016855,0.0010013353456704824,213.05,2.9349574654870606e+37,5.567458009664614e+36,3.638883872421865e+36,8.136632496130352e+35,4.9753873114330535e+37,8.627802779806664e+36,105.05,2.1737318888328943e+37,1.3996324107878543e+37,2.695084343217379e+36,1.7644083577869883e+36,3.9647653855980136e+37,9.356832153264075e+36
ASASSN-15fj,0.045,0.0010022042623457678,109.0,2.6453795073209532e+36,4.926957343687551e+36,2.3091803061192883e+36,4.301999586066225e+36,1.5902665283934706e+38,3.7091474304450853e+37,109.0,0.0,0.0,0.0,0.0,1.2932642118124748e+38,8.428454750477853e+37
CSS121006:232854+085452,0.08,0.0010043845794634766,1643.35,1.500242675648843e+37,5.521350591955683e+36,4.074595958092417e+37,1.5029369096645633e+37,1.1197375234669074e+39,8.826857017904074e+37,1643.35,4.0987871693560296e+37,2.3754590479483636e+37,1.1132133423758347e+38,6.457482400936627e+37,2.6374800155559208e+39,3.2791780135356356e+38
CSS130218:092354+385837,0.05,0.001002441211974061,1662.0,3.3517860083300924e+36,1.5895033225188813e+36,3.6041111634702414e+36,1.7151267435264088e+36,1.3024948002052752e+38,1.2678289069243106e+37,107.0,0.0,0.0,0.0,0.0,0.0,0.0
CSS130317:082848+293031,0.08,0.0010043845794634766,222.0,0.0,0.0,0.0,0.0,7.220158187726483e+37,5.4232922904537395e+37,222.0,0.0,0.0,0.0,0.0,0.0,0.0
CSS140501:170414+174839,0.07,0.0010036375757533317,135.0,1.1847210593121902e+37,1.483928711537539e+37,2.4746454949846786e+37,3.100417290885509e+37,3.753166079548226e+38,1.21667309184087e+38,135.0,0.0,0.0,0.0,0.0,8.825997825858099e+38,4.838093177950786e+38
LSQ12fhs,0.033,0.00100173718282992,170.0,3.3910078876942655e+37,1.047793712194794e+37,1.6002961802508217e+37,5.037973042268797e+36,2.4883032053821916e+38,2.879789340267085e+37,170.0,3.5242170844861846e+36,8.628351845257645e+36,1.6631607255012123e+36,4.0731553033252374e+36,2.406246031704967e+38,5.321389572392874e+37
LSQ13cm,0.057,0.0010028147303784605,120.0,0.0,0.0,0.0,0.0,1.6356037108059809e+38,5.627849122787056e+37,120.0,0.0,0.0,0.0,0.0,5.525979908784552e+36,2.667693304530789e+37
LSQ13cwp,0.067,0.0010034327996752072,179.05,1.120602720839753e+37,1.1970782588227e+37,2.147272651002456e+37,2.2946879294514253e+37,3.925050541205114e+38,9.947513978502158e+37,179.05,2.0695321680333254e+36,1.3405432264795043e+37,3.9655890014774046e+36,2.5687441331857934e+37,1.1723779387021136e+39,4.4454081792160555e+38
LSQ14ahm,0.05,0.001002441211974061,186.0,8.94681771710796e+36,7.741832855936395e+36,9.620341373710553e+36,8.333379887182435e+36,2.4909855086386036e+38,4.46651634680982e+37,75.0,8.786250169787974e+36,3.1462649367173433e+37,9.44768617187226e+36,3.3833257080184333e+37,2.201095842994319e+38,1.6377318558243674e+38
PS1-12bwh,0.025,0.001001505558378996,1547.0,7.459340742196002e+37,7.177857227272646e+36,2.0274352904403719e+37,2.532974394945906e+36,3.992133849154432e+38,4.577143043590302e+37,109.0,1.3438875407019767e+38,5.127841441939593e+37,3.652661971840937e+37,1.4238034790435665e+37,4.9242929650158824e+38,7.519677759039106e+37
