sn,z,RA,Dec
SN1990O,0.03066,17:15:35.92,+16:19:25.8
SN1990af,0.0503,21:34:58.12,-62:44:07.4
SN1991U,0.031442,13:23:22,-26:06.5
SN1992J,0.0443,10:09:00.30,-26:38:24.4
SN1992P,0.0265,12:42:48.93,+10:21:36.2
SN1992ae,0.0746,21:28:17.94,-61:33:01.4
SN1992ag,0.0262,13:24:09.85,-23:52:43.7
SN1992bg,0.0282,07:41:56.55,-62:31:10.0
SN1992bh,0.0443,04:59:27.55,-58:49:44.2
SN1992bk,0.0587,03:43:01.90,-53:37:56.8
SN1992bl,0.0424,23:15:13.09,-44:44:35.7
SN1992bp,0.0789,03:36:37.95,-18:21:13.7
SN1992br,0.0893,01:45:44.83,-56:05:57.9
SN1992bs,0.0628,03:29:27.20,-37:16:18.9
SN1993B,0.0708,10:34:51.38,-34:26:30.0
SN1993H,0.02421,13:52:50.34,-30:42:23.3
SN1993O,0.0515,13:31:07.87,-33:12:50.5
SN1993ac,0.0443,05:46:23.58,+63:22:07.1
SN1993ag,0.0493,10:03:35.00,-35:27:47.6
SN1994M,0.02316,12:31:08.61,+00:36:19.6
SN1994T,0.03466,13:21:30.73,-02:08:56.5
SN1995ac,0.0499,22:45:34.14,-08:45:04.7
SN1996C,0.0276,13:50:48.60,+49:19:07.1
SN1996bl,0.0348,00:36:17.97,+11:23:40.5
SN1997dg,0.0341585,23:40:14.21,+26:12:11.8
SN1998ab,0.02725,12:48:47.24,+41:55:28.3
SN1998dx,0.054221,18:11:11.89,+49:51:40.7
SN1998eg,0.02476,22:39:30.29,+08:36:20.6
SN1999aw,0.0391,11:01:36.37,-06:06:31.6
SN1999cc,0.0294453,16:02:42.03,+37:21:34.4
SN1999ef,0.03914,00:58:46.2,+12:44:45
SN1999gp,0.02675,02:31:39.15,+39:22:52.3
SN2000bh,0.02281,12:21:15.14,-21:59:55.7
SN2000ca,0.02362,13:35:22.98,-34:09:37.0
SN2000cf,0.0353,15:52:56.19,+65:56:12.7
SN2001ah,0.057756,11:10:29.82,+55:09:39.0
SN2001az,0.040701,16:34:27.71,+76:01:46.8
SN2001ba,0.02942,11:38:01.76,-32:19:51.0
SN2001eh,0.037039,01:38:12.10,+41:39:18.8
SN2001gb,0.025731,09:59:00.96,+17:49:12.4
SN2001ic,0.044241,23:10:43.34,+07:34:10.4
SN2001ie,0.0278517,10:16:50.70,+60:16:44.5
SN2002G,0.033737,13:07:55.26,+34:05:06.5
SN2002bf,0.024197,10:15:42.31,+55:40:06.7
SN2002bz,0.037149,14:24:40.52,+26:37:34.7
SN2002ck,0.029864,15:47:00.75,-00:59:25.5
SN2002de,0.0279812,16:16:30.38,+35:42:30.2
SN2002hd,0.035001,08:54:04.69,-07:10:59.8
SN2002he,0.024564,08:19:58.83,+62:49:13.2
SN2002hu,0.0262232,02:18:20.06,+37:27:58.8
SN2003D,0.022109,09:38:53.52,-04:51:05.1
SN2003U,0.0265903,17:22:45.66,+62:09:50.4
SN2003ch,0.0268379,07:17:57.92,+09:41:34.9
SN2003cq,0.0297197,11:56:14.17,+60:31:19.1
SN2003fa,0.006004,17:44:07.72,+40:52:51.6
SN2003hu,0.075,19:11:31.40,+77:53:35.2
SN2003ic,0.055672,00:41:50.23,-09:18:19.0
SN2003it,0.025121,00:05:48.47,+27:27:09.6
SN2003iv,0.034307,02:50:07.25,+12:50:46.5
SN2004L,0.032309,10:27:04.11,+16:01:07.3
SN2004as,0.0305583,11:25:39.18,+22:49:49.4
SN2005eq,0.028977,03:08:49.31,-07:01:59.7
SN2005eu,0.03412,02:27:43.30,+28:10:37.8
SN2005hc,0.045915,01:56:47.976,-00:12:48.62
SN2005hf,0.04311,01:27:05.97,+19:07:00.5
SN2005hj,0.057385,01:26:48.40,-01:14:17.2
SN2005iq,0.034044,23:58:32.50,-18:42:33.0
SN2005ir,0.076023,01:16:43.752,+00:47:40.36
SN2005lz,0.040001,02:10:49.76,+34:58:58.2
SN2005mc,0.026006,08:27:06.36,+21:38:45.6
SN2005ms,0.0270878,08:49:14.34,+36:07:47.9
SN2005na,0.026322,07:01:36.62,+14:07:59.7
SN2006S,0.0340003,12:45:39.10,+35:05:12.4
SN2006ac,0.023106,12:41:44.88,+35:04:07.32
SN2006ak,0.0381,11:09:32.83,+28:37:50.3
SN2006al,0.067849,10:39:28.26,+05:11:00.3
SN2006an,0.0640618,12:14:38.68,+12:13:46.9
SN2006az,0.0275947,12:12:14.68,+56:10:45.8
SN2006bd,0.02572,11:38:28.56,+20:31:34.32
SN2006bt,0.03193,15:56:30.48,+20:02:45.60
SN2006bu,0.084001,13:52:47.81,+05:18:49.4
SN2006bw,0.030002,14:33:56.73,+03:47:55.8
SN2006bz,0.027906,13:00:43.38,+27:57:41.8
SN2006cc,0.032529,16:09:56.44,+43:07:35.0
SN2006cf,0.0422998,10:54:02.58,+46:01:36.3
SN2006cg,0.028063,13:05:02.32,+28:44:24.0
SN2006cj,0.06752,12:59:24.42,+28:20:51.7
SN2006cq,0.0521626,13:24:25.10,+30:57:22.7
SN2006cs,0.023676,13:45:33.89,+35:36:36.6
SN2006en,0.0311307,23:10:05.06,+30:13:24.0
SN2006gj,0.02829,03:17:35.80,-01:41:30.2
SN2006gr,0.034597,22:32:22.67,+30:49:43.3
SN2006gt,0.044771,00:56:17.30,-01:37:46.0
SN2006mo,0.036999,00:46:38.55,+36:19:57.8
SN2006nz,0.03816,00:56:29.21,-01:13:36.1
SN2006oa,0.062573,21:23:42.960,-00:50:35.02
SN2006ob,0.058596,01:51:48.505,+00:15:50.00
SN2006on,0.071915,21:55:58.50,-01:04:13.0
SN2006os,0.032081,02:55:01.01,+16:00:34.8
SN2006qo,0.030455,08:00:08.37,+56:22:07.7
SN2006te,0.031592,08:11:42.99,+41:33:16.8
SN2007F,0.0240137,13:03:15.08,+50:37:07.7
SN2007H,0.0436,08:35:01.98,-08:20:15.3
SN2007O,0.036212,14:56:05.18,+45:24:16.9
SN2007R,0.0304169,07:46:37.53,+44:47:22.1
SN2007ae,0.0583448,17:01:51.95,+79:01:54.6
SN2007ai,0.031987,16:12:53.74,-21:37:48.7
SN2007ar,0.052933,13:21:01.93,+58:33:02.4
SN2007ba,0.03805,15:16:41.814,+07:23:48.92
SN2007bd,0.03044,08:31:32.872,-01:11:52.02
SN2007cg,0.033196,13:25:33.58,-24:39:08.1
SN2007co,0.026962,18:23:03.60,+29:53:49.6
SN2007cg,0.033196,13:25:33.58,-24:39:08.1
SN2008af,0.033507,14:59:28.50,+16:39:12.3
SN2008bf,0.0231404,12:04:02.90,+20:14:42.6
